sample_id,animal,eye,condition,condition_order,intensity_group,intensity_log_cd_s_m2,b_wave_uv
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,4,1.0,12.8
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,5,1.9,27.8
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,6,2.8,30.8
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,7,3.1,31.45
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,0.32
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.0
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,3,0.1,6.06
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,4,1.0,130.65
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,5,1.9,156.21
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,6,2.8,160.31
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B-3UTR,6,7,3.1,154.44
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,0.0
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.77
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,3,0.1,4.69
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,4,1.0,138.99
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,5,1.9,181.69
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,6,2.8,184.84
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B-3UTR,6,7,3.1,190.3
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,0.0
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.45
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,3,0.1,2.69
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,4,1.0,111.74
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,5,1.9,139.5
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,6,2.8,140.32
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B-3UTR,6,7,3.1,145.65
