condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
Control,1,1,-1.7,14.8,16.78
Control,1,1,-1.7,15.0,19.04
Control,1,1,-1.7,15.2,21.01
Control,1,1,-1.7,15.4,22.44
Control,1,1,-1.7,15.6,23.11
Control,1,1,-1.7,15.8,22.88
Control,1,1,-1.7,16.0,21.7
Control,1,1,-1.7,16.2,19.58
Control,1,1,-1.7,16.4,16.65
Control,1,1,-1.7,16.6,13.07
Control,1,1,-1.7,16.8,9.06
Control,1,1,-1.7,17.0,4.85
Control,1,1,-1.7,17.2,0.67
Control,1,1,-1.7,17.4,-3.29
Control,1,1,-1.7,17.6,-6.89
Control,1,1,-1.7,17.8,-10.05
Control,1,1,-1.7,18.0,-12.74
Control,1,1,-1.7,18.2,-15.0
Control,1,1,-1.7,18.4,-16.91
Control,1,1,-1.7,18.6,-18.58
Control,1,1,-1.7,18.8,-20.11
Control,1,1,-1.7,19.0,-21.62
Control,1,1,-1.7,19.2,-23.17
Control,1,1,-1.7,19.4,-24.81
Control,1,1,-1.7,19.6,-26.52
Control,1,1,-1.7,19.8,-28.25
Control,1,1,-1.7,20.0,-29.9
Control,1,1,-1.7,20.2,-31.36
Control,1,1,-1.7,20.4,-32.48
Control,1,1,-1.7,20.6,-33.14
Control,1,1,-1.7,20.8,-33.23
Control,1,1,-1.7,21.0,-32.66
Control,1,1,-1.7,21.2,-31.39
Control,1,1,-1.7,21.4,-29.43
Control,1,1,-1.7,21.6,-26.85
Control,1,1,-1.7,21.8,-23.75
Control,1,1,-1.7,22.0,-20.28
Control,1,1,-1.7,22.2,-16.6
Control,1,1,-1.7,22.4,-12.9
Control,1,1,-1.7,22.6,-9.38
Control,1,1,-1.7,22.8,-6.22
Control,1,1,-1.7,23.0,-3.57
Control,1,1,-1.7,23.2,-1.55
Control,1,1,-1.7,23.4,-0.27
Control,1,1,-1.7,23.6,0.25
Control,1,1,-1.7,23.8,-0.0
Control,1,1,-1.7,24.0,-0.98
Control,1,1,-1.7,24.2,-2.61
Control,1,1,-1.7,24.4,-4.75
Control,1,1,-1.7,24.6,-7.27
Control,1,1,-1.7,24.8,-9.99
Control,1,1,-1.7,25.0,-12.73
Control,1,1,-1.7,25.2,-15.34
Control,1,1,-1.7,25.4,-17.64
Control,1,1,-1.7,25.6,-19.5
Control,1,1,-1.7,25.8,-20.84
Control,1,1,-1.7,26.0,-21.58
Control,1,1,-1.7,26.2,-21.73
Control,1,1,-1.7,26.4,-21.32
Control,1,1,-1.7,26.6,-20.43
Control,1,1,-1.7,26.8,-19.18
Control,1,1,-1.7,27.0,-17.69
Control,1,1,-1.7,27.2,-16.13
Control,1,1,-1.7,27.4,-14.61
Control,1,1,-1.7,27.6,-13.26
Control,1,1,-1.7,27.8,-12.15
Control,1,1,-1.7,28.0,-11.32
Control,1,1,-1.7,28.2,-10.74
Control,1,1,-1.7,28.4,-10.37
Control,1,1,-1.7,28.6,-10.08
Control,1,1,-1.7,28.8,-9.78
Control,1,1,-1.7,29.0,-9.32
Control,1,1,-1.7,29.2,-8.6
Control,1,1,-1.7,29.4,-7.55
Control,1,1,-1.7,29.6,-6.14
Control,1,1,-1.7,29.8,-4.43
Control,1,1,-1.7,30.0,-2.52
Control,1,1,-1.7,30.2,-0.59
Control,1,1,-1.7,30.4,1.13
Control,1,1,-1.7,30.6,2.41
Control,1,1,-1.7,30.8,3.0
Control,1,1,-1.7,31.0,2.68
Control,1,1,-1.7,31.2,1.31
Control,1,1,-1.7,31.4,-1.16
Control,1,1,-1.7,31.6,-4.67
Control,1,1,-1.7,31.8,-9.08
Control,1,1,-1.7,32.0,-14.09
Control,1,1,-1.7,32.2,-19.35
Control,1,1,-1.7,32.4,-24.44
Control,1,1,-1.7,32.6,-28.92
Control,1,1,-1.7,32.8,-32.36
Control,1,1,-1.7,33.0,-34.41
Control,1,1,-1.7,33.2,-34.83
Control,1,1,-1.7,33.4,-33.51
Control,1,1,-1.7,33.6,-30.48
Control,1,1,-1.7,33.8,-25.93
Control,1,1,-1.7,34.0,-20.2
Control,1,1,-1.7,34.2,-13.73
Control,1,1,-1.7,34.4,-7.01
Control,1,1,-1.7,34.6,-0.57
Control,1,1,-1.7,34.8,5.09
Control,1,1,-1.7,35.0,9.56
Control,1,1,-1.7,35.2,12.56
Control,1,1,-1.7,35.4,13.94
Control,1,1,-1.7,35.6,13.71
Control,1,1,-1.7,35.8,12.05
Control,1,1,-1.7,36.0,9.26
Control,1,1,-1.7,36.2,5.72
Control,1,1,-1.7,36.4,1.88
Control,1,1,-1.7,36.6,-1.82
Control,1,1,-1.7,36.8,-4.99
Control,1,1,-1.7,37.0,-7.31
Control,1,1,-1.7,37.2,-8.61
Control,1,1,-1.7,37.4,-8.84
Control,1,1,-1.7,37.6,-8.09
Control,1,1,-1.7,37.8,-6.57
Control,1,1,-1.7,38.0,-4.57
Control,1,1,-1.7,38.2,-2.45
Control,1,1,-1.7,38.4,-0.55
Control,1,1,-1.7,38.6,0.8
Control,1,1,-1.7,38.8,1.36
Control,1,1,-1.7,39.0,1.0
Control,1,1,-1.7,39.2,-0.3
Control,1,1,-1.7,39.4,-2.45
Control,1,1,-1.7,39.6,-5.22
Control,1,1,-1.7,39.8,-8.35
Control,1,1,-1.7,40.0,-11.51
Control,1,1,-1.7,40.2,-14.35
Control,1,1,-1.7,40.4,-16.6
Control,1,1,-1.7,40.6,-18.02
Control,1,1,-1.7,40.8,-18.5
Control,1,1,-1.7,41.0,-18.02
Control,1,1,-1.7,41.2,-16.67
Control,1,1,-1.7,41.4,-14.67
Control,1,1,-1.7,41.6,-12.26
Control,1,1,-1.7,41.8,-9.77
Control,1,1,-1.7,42.0,-7.51
Control,1,1,-1.7,42.2,-3.74
Control,1,1,-1.7,42.4,-4.12
Control,1,1,-1.7,42.6,-5.64
Control,1,1,-1.7,42.8,-8.19
Control,1,1,-1.7,43.0,-11.55
Control,1,1,-1.7,43.2,-15.45
Control,1,1,-1.7,43.4,-19.51
Control,1,1,-1.7,43.6,-23.37
Control,1,1,-1.7,43.8,-26.67
Control,1,1,-1.7,44.0,-29.12
Control,1,1,-1.7,44.2,-30.51
Control,1,1,-1.7,44.4,-30.76
Control,1,1,-1.7,44.6,-29.89
Control,1,1,-1.7,44.8,-28.02
Control,1,1,-1.7,45.0,-25.4
Control,1,1,-1.7,45.2,-22.33
Control,1,1,-1.7,45.4,-19.14
Control,1,1,-1.7,45.6,-16.17
Control,1,1,-1.7,45.8,-13.71
Control,1,1,-1.7,46.0,-12.01
Control,1,1,-1.7,46.2,-11.21
Control,1,1,-1.7,46.4,-11.34
Control,1,1,-1.7,46.6,-12.35
Control,1,1,-1.7,46.8,-14.06
Control,1,1,-1.7,47.0,-16.25
Control,1,1,-1.7,47.2,-18.61
Control,1,1,-1.7,47.4,-20.83
Control,1,1,-1.7,47.6,-22.6
Control,1,1,-1.7,47.8,-23.65
Control,1,1,-1.7,48.0,-23.76
Control,1,1,-1.7,48.2,-22.81
Control,1,1,-1.7,48.4,-20.76
Control,1,1,-1.7,48.6,-17.65
Control,1,1,-1.7,48.8,-13.63
Control,1,1,-1.7,49.0,-8.91
Control,1,1,-1.7,49.2,-3.77
Control,1,1,-1.7,49.4,1.49
Control,1,1,-1.7,49.6,6.55
Control,1,1,-1.7,49.8,11.09
Control,1,1,-1.7,50.0,14.84
Control,1,1,-1.7,50.2,17.56
Control,1,1,-1.7,50.4,19.1
Control,1,1,-1.7,50.6,19.35
Control,1,1,-1.7,50.8,18.3
Control,1,1,-1.7,51.0,16.02
Control,1,1,-1.7,51.2,12.64
Control,1,1,-1.7,51.4,8.35
Control,1,1,-1.7,51.6,3.41
Control,1,1,-1.7,51.8,-1.91
Control,1,1,-1.7,52.0,-7.31
Control,1,1,-1.7,52.2,-12.5
Control,1,1,-1.7,52.4,-17.19
Control,1,1,-1.7,52.6,-21.14
Control,1,1,-1.7,52.8,-24.17
Control,1,1,-1.7,53.0,-26.14
Control,1,1,-1.7,53.2,-26.99
Control,1,1,-1.7,53.4,-26.74
Control,1,1,-1.7,53.6,-25.47
Control,1,1,-1.7,53.8,-23.3
Control,1,1,-1.7,54.0,-20.44
Control,1,1,-1.7,54.2,-17.09
Control,1,1,-1.7,54.4,-13.49
Control,1,1,-1.7,54.6,-9.86
Control,1,1,-1.7,54.8,-6.42
Control,1,1,-1.7,55.0,-3.33
Control,1,1,-1.7,55.2,-0.73
Control,1,1,-1.7,55.4,1.32
Control,1,1,-1.7,55.6,2.8
Control,1,1,-1.7,55.8,3.73
Control,1,1,-1.7,56.0,4.17
Control,1,1,-1.7,56.2,4.23
Control,1,1,-1.7,56.4,4.01
Control,1,1,-1.7,56.6,3.61
Control,1,1,-1.7,56.8,3.14
Control,1,1,-1.7,57.0,2.66
Control,1,1,-1.7,57.2,2.24
Control,1,1,-1.7,57.4,1.91
Control,1,1,-1.7,57.6,1.67
Control,1,1,-1.7,57.8,1.55
Control,1,1,-1.7,58.0,1.53
Control,1,1,-1.7,58.2,1.64
Control,1,1,-1.7,58.4,1.88
Control,1,1,-1.7,58.6,2.31
Control,1,1,-1.7,58.8,2.99
Control,1,1,-1.7,59.0,3.98
Control,1,1,-1.7,59.2,5.36
Control,1,1,-1.7,59.4,7.18
Control,1,1,-1.7,59.6,9.49
Control,1,1,-1.7,59.8,12.28
Control,1,1,-1.7,60.0,15.48
Control,1,1,-1.7,60.2,18.97
Control,1,1,-1.7,60.4,22.57
Control,1,1,-1.7,60.6,26.03
Control,1,1,-1.7,60.8,29.07
Control,1,1,-1.7,61.0,31.38
Control,1,1,-1.7,61.2,32.67
Control,1,1,-1.7,61.4,32.67
Control,1,1,-1.7,61.6,31.2
Control,1,1,-1.7,61.8,28.14
Control,1,1,-1.7,62.0,23.5
Control,1,1,-1.7,62.2,17.41
Control,1,1,-1.7,62.4,10.11
Control,1,1,-1.7,62.6,1.97
Control,1,1,-1.7,62.8,-6.58
Control,1,1,-1.7,63.0,-15.04
Control,1,1,-1.7,63.2,-22.89
Control,1,1,-1.7,63.4,-29.66
Control,1,1,-1.7,63.6,-34.91
Control,1,1,-1.7,63.8,-38.35
Control,1,1,-1.7,64.0,-39.76
Control,1,1,-1.7,64.2,-39.12
Control,1,1,-1.7,64.4,-36.54
Control,1,1,-1.7,64.6,-32.26
Control,1,1,-1.7,64.8,-26.66
Control,1,1,-1.7,65.0,-20.2
Control,1,1,-1.7,65.2,-13.4
Control,1,1,-1.7,65.4,-6.78
Control,1,1,-1.7,65.6,-0.83
Control,1,1,-1.7,65.8,4.03
Control,1,1,-1.7,66.0,7.5
Control,1,1,-1.7,66.2,9.4
Control,1,1,-1.7,66.4,9.67
Control,1,1,-1.7,66.6,8.44
Control,1,1,-1.7,66.8,5.92
Control,1,1,-1.7,67.0,2.45
Control,1,1,-1.7,67.2,-1.55
Control,1,1,-1.7,67.4,-5.64
Control,1,1,-1.7,67.6,-9.34
Control,1,1,-1.7,67.8,-12.24
Control,1,1,-1.7,68.0,-13.99
Control,1,1,-1.7,68.2,-14.32
Control,1,1,-1.7,68.4,-13.1
Control,1,1,-1.7,68.6,-10.3
Control,1,1,-1.7,68.8,-6.05
Control,1,1,-1.7,69.0,-0.57
Control,1,1,-1.7,69.2,5.8
Control,1,1,-1.7,69.4,12.66
Control,1,1,-1.7,69.6,19.56
Control,1,1,-1.7,69.8,26.05
Control,1,1,-1.7,70.0,31.68
Control,1,1,-1.7,70.2,36.08
Control,1,1,-1.7,70.4,38.98
Control,1,1,-1.7,70.6,40.19
Control,1,1,-1.7,70.8,39.67
Control,1,1,-1.7,71.0,37.5
Control,1,1,-1.7,71.2,33.87
Control,1,1,-1.7,71.4,29.1
Control,1,1,-1.7,71.6,23.57
Control,1,1,-1.7,71.8,17.72
Control,1,1,-1.7,72.0,11.99
Control,1,1,-1.7,72.2,6.83
Control,1,1,-1.7,72.4,2.57
Control,1,1,-1.7,72.6,-0.48
Control,1,1,-1.7,72.8,-2.18
Control,1,1,-1.7,73.0,-2.49
Control,1,1,-1.7,73.2,-1.49
Control,1,1,-1.7,73.4,0.61
Control,1,1,-1.7,73.6,3.54
Control,1,1,-1.7,73.8,6.93
Control,1,1,-1.7,74.0,10.41
Control,1,1,-1.7,74.2,13.63
Control,1,1,-1.7,74.4,16.29
Control,1,1,-1.7,74.6,18.15
Control,1,1,-1.7,74.8,19.1
Control,1,1,-1.7,75.0,19.12
Control,1,1,-1.7,75.2,18.31
Control,1,1,-1.7,75.4,16.86
Control,1,1,-1.7,75.6,15.02
Control,1,1,-1.7,75.8,13.09
Control,1,1,-1.7,76.0,11.34
Control,1,1,-1.7,76.2,10.02
Control,1,1,-1.7,76.4,9.29
Control,1,1,-1.7,76.6,9.25
Control,1,1,-1.7,76.8,9.86
Control,1,1,-1.7,77.0,11.01
Control,1,1,-1.7,77.2,12.51
Control,1,1,-1.7,77.4,14.11
Control,1,1,-1.7,77.6,15.54
Control,1,1,-1.7,77.8,16.58
Control,1,1,-1.7,78.0,17.04
Control,1,1,-1.7,78.2,16.83
Control,1,1,-1.7,78.4,15.96
Control,1,1,-1.7,78.6,14.56
Control,1,1,-1.7,78.8,12.86
Control,1,1,-1.7,79.0,11.15
Control,1,1,-1.7,79.2,9.77
Control,1,1,-1.7,79.4,9.05
Control,1,1,-1.7,79.6,9.26
Control,1,1,-1.7,79.8,10.6
Control,1,1,-1.7,80.0,13.11
Control,1,1,-1.7,80.2,16.69
Control,1,1,-1.7,80.4,21.11
Control,1,1,-1.7,80.6,25.99
Control,1,1,-1.7,80.8,30.86
Control,1,1,-1.7,81.0,35.18
Control,1,1,-1.7,81.2,38.44
Control,1,1,-1.7,81.4,40.19
Control,1,1,-1.7,81.6,40.08
Control,1,1,-1.7,81.8,37.95
Control,1,1,-1.7,82.0,33.8
Control,1,1,-1.7,82.2,29.0
Control,1,1,-1.7,82.4,20.33
Control,1,1,-1.7,82.6,10.8
Control,1,1,-1.7,82.8,1.14
Control,1,1,-1.7,83.0,-7.9
Control,1,1,-1.7,83.2,-15.61
Control,1,1,-1.7,83.4,-21.41
Control,1,1,-1.7,83.6,-24.93
Control,1,1,-1.7,83.8,-26.0
Control,1,1,-1.7,84.0,-24.7
Control,1,1,-1.7,84.2,-21.35
Control,1,1,-1.7,84.4,-16.44
Control,1,1,-1.7,84.6,-10.59
Control,1,1,-1.7,84.8,-4.5
Control,1,1,-1.7,85.0,1.17
Control,1,1,-1.7,85.2,5.82
Control,1,1,-1.7,85.4,9.0
Control,1,1,-1.7,85.6,10.46
Control,1,1,-1.7,85.8,10.15
Control,1,1,-1.7,86.0,8.21
Control,1,1,-1.7,86.2,4.96
Control,1,1,-1.7,86.4,0.85
Control,1,1,-1.7,86.6,-3.62
Control,1,1,-1.7,86.8,-7.92
Control,1,1,-1.7,87.0,-11.6
Control,1,1,-1.7,87.2,-14.29
Control,1,1,-1.7,87.4,-15.78
Control,1,1,-1.7,87.6,-15.99
Control,1,1,-1.7,87.8,-15.01
Control,1,1,-1.7,88.0,-13.02
Control,1,1,-1.7,88.2,-10.27
Control,1,1,-1.7,88.4,-7.06
Control,1,1,-1.7,88.6,-3.65
Control,1,1,-1.7,88.8,-0.23
Control,1,1,-1.7,89.0,3.11
Control,1,1,-1.7,89.2,6.36
Control,1,1,-1.7,89.4,9.67
Control,1,1,-1.7,89.6,13.22
Control,1,1,-1.7,89.8,17.28
Control,1,1,-1.7,90.0,22.09
Control,1,1,-1.7,90.2,27.84
Control,1,1,-1.7,90.4,34.61
Control,1,1,-1.7,90.6,42.34
Control,1,1,-1.7,90.8,50.84
Control,1,1,-1.7,91.0,59.73
Control,1,1,-1.7,91.2,68.5
Control,1,1,-1.7,91.4,76.57
Control,1,1,-1.7,91.6,83.29
Control,1,1,-1.7,91.8,88.07
Control,1,1,-1.7,92.0,90.4
Control,1,1,-1.7,92.2,89.94
Control,1,1,-1.7,92.4,86.54
Control,1,1,-1.7,92.6,80.28
Control,1,1,-1.7,92.8,71.47
Control,1,1,-1.7,93.0,60.62
Control,1,1,-1.7,93.2,48.41
Control,1,1,-1.7,93.4,35.61
Control,1,1,-1.7,93.6,23.02
Control,1,1,-1.7,93.8,11.41
Control,1,1,-1.7,94.0,1.42
Control,1,1,-1.7,94.2,-6.47
Control,1,1,-1.7,94.4,-12.01
Control,1,1,-1.7,94.6,-15.12
Control,1,1,-1.7,94.8,-15.98
Control,1,1,-1.7,95.0,-14.9
Control,1,1,-1.7,95.2,-12.36
Control,1,1,-1.7,95.4,-8.88
Control,1,1,-1.7,95.6,-5.0
Control,1,1,-1.7,95.8,-1.23
Control,1,1,-1.7,96.0,2.05
Control,1,1,-1.7,96.2,4.56
Control,1,1,-1.7,96.4,6.19
Control,1,1,-1.7,96.6,6.94
Control,1,1,-1.7,96.8,6.96
Control,1,1,-1.7,97.0,6.46
Control,1,1,-1.7,97.2,5.72
Control,1,1,-1.7,97.4,5.0
Control,1,1,-1.7,97.6,4.54
Control,1,1,-1.7,97.8,4.51
Control,1,1,-1.7,98.0,5.0
Control,1,1,-1.7,98.2,6.03
Control,1,1,-1.7,98.4,7.52
Control,1,1,-1.7,98.6,9.37
Control,1,1,-1.7,98.8,11.46
Control,1,1,-1.7,99.0,13.65
Control,1,1,-1.7,99.2,15.89
Control,1,1,-1.7,99.4,18.13
Control,1,1,-1.7,99.6,20.45
Control,1,1,-1.7,99.8,22.95
Control,1,1,-1.7,100.0,25.79
Control,1,1,-1.7,100.2,29.18
Control,1,1,-1.7,100.4,33.27
Control,1,1,-1.7,100.6,38.22
Control,1,1,-1.7,100.8,44.07
Control,1,1,-1.7,101.0,50.79
Control,1,1,-1.7,101.2,58.21
Control,1,1,-1.7,101.4,66.07
Control,1,1,-1.7,101.6,74.01
Control,1,1,-1.7,101.8,81.59
Control,1,1,-1.7,102.0,88.37
Control,1,1,-1.7,102.2,93.92
Control,1,1,-1.7,102.4,97.87
Control,1,1,-1.7,102.6,99.97
Control,1,1,-1.7,102.8,100.11
Control,1,1,-1.7,103.0,98.32
Control,1,1,-1.7,103.2,94.81
Control,1,1,-1.7,103.4,89.89
Control,1,1,-1.7,103.6,84.0
Control,1,1,-1.7,103.8,77.64
Control,1,1,-1.7,104.0,71.33
Control,1,1,-1.7,104.2,65.53
Control,1,1,-1.7,104.4,60.65
Control,1,1,-1.7,104.6,56.96
Control,1,1,-1.7,104.8,54.61
Control,1,1,-1.7,105.0,53.62
Control,1,1,-1.7,105.2,53.85
Control,1,1,-1.7,105.4,55.09
Control,1,1,-1.7,105.6,57.03
Control,1,1,-1.7,105.8,59.35
Control,1,1,-1.7,106.0,61.73
Control,1,1,-1.7,106.2,63.91
Control,1,1,-1.7,106.4,65.69
Control,1,1,-1.7,106.6,66.98
Control,1,1,-1.7,106.8,67.76
Control,1,1,-1.7,107.0,68.13
Control,1,1,-1.7,107.2,68.24
Control,1,1,-1.7,107.4,68.28
Control,1,1,-1.7,107.6,68.44
Control,1,1,-1.7,107.8,68.92
Control,1,1,-1.7,108.0,69.83
Control,1,1,-1.7,108.2,71.24
Control,1,1,-1.7,108.4,73.16
Control,1,1,-1.7,108.6,75.5
Control,1,1,-1.7,108.8,78.14
Control,1,1,-1.7,109.0,80.91
Control,1,1,-1.7,109.2,83.64
Control,1,1,-1.7,109.4,86.17
Control,1,1,-1.7,109.6,88.4
Control,1,1,-1.7,109.8,90.27
Control,1,1,-1.7,110.0,91.79
Control,1,1,-1.7,110.2,93.04
Control,1,1,-1.7,110.4,94.15
Control,1,1,-1.7,110.6,95.28
Control,1,1,-1.7,110.8,96.6
Control,1,1,-1.7,111.0,98.26
Control,1,1,-1.7,111.2,100.34
Control,1,1,-1.7,111.4,102.87
Control,1,1,-1.7,111.6,105.8
Control,1,1,-1.7,111.8,108.99
Control,1,1,-1.7,112.0,112.21
Control,1,1,-1.7,112.2,115.17
Control,1,1,-1.7,112.4,117.57
Control,1,1,-1.7,112.6,119.07
Control,1,1,-1.7,112.8,119.4
Control,1,1,-1.7,113.0,118.31
Control,1,1,-1.7,113.2,115.67
Control,1,1,-1.7,113.4,111.44
Control,1,1,-1.7,113.6,105.69
Control,1,1,-1.7,113.8,98.58
Control,1,1,-1.7,114.0,90.39
Control,1,1,-1.7,114.2,81.43
Control,1,1,-1.7,114.4,72.08
Control,1,1,-1.7,114.6,62.72
Control,1,1,-1.7,114.8,53.68
Control,1,1,-1.7,115.0,45.29
Control,1,1,-1.7,115.2,37.75
Control,1,1,-1.7,115.4,31.25
Control,1,1,-1.7,115.6,25.86
Control,1,1,-1.7,115.8,21.58
Control,1,1,-1.7,116.0,18.38
Control,1,1,-1.7,116.2,16.18
Control,1,1,-1.7,116.4,14.88
Control,1,1,-1.7,116.6,14.41
Control,1,1,-1.7,116.8,14.71
Control,1,1,-1.7,117.0,15.74
Control,1,1,-1.7,117.2,17.52
Control,1,1,-1.7,117.4,20.11
Control,1,1,-1.7,117.6,23.55
Control,1,1,-1.7,117.8,27.94
Control,1,1,-1.7,118.0,33.33
Control,1,1,-1.7,118.2,39.76
Control,1,1,-1.7,118.4,47.22
Control,1,1,-1.7,118.6,55.62
Control,1,1,-1.7,118.8,64.81
Control,1,1,-1.7,119.0,74.6
Control,1,1,-1.7,119.2,84.71
Control,1,1,-1.7,119.4,94.82
Control,1,1,-1.7,119.6,104.61
Control,1,1,-1.7,119.8,113.75
Control,1,1,-1.7,120.0,121.92
Control,1,1,-1.7,120.2,128.89
Control,1,1,-1.7,120.4,134.47
Control,1,1,-1.7,120.6,138.56
Control,1,1,-1.7,120.8,141.16
Control,1,1,-1.7,121.0,142.34
Control,1,1,-1.7,121.2,142.26
Control,1,1,-1.7,121.4,141.14
Control,1,1,-1.7,121.6,139.21
Control,1,1,-1.7,121.8,136.76
Control,1,1,-1.7,122.0,134.04
Control,1,1,-1.7,122.2,129.68
Control,1,1,-1.7,122.4,126.16
Control,1,1,-1.7,122.6,123.03
Control,1,1,-1.7,122.8,120.36
Control,1,1,-1.7,123.0,118.12
Control,1,1,-1.7,123.2,116.19
Control,1,1,-1.7,123.4,114.4
Control,1,1,-1.7,123.6,112.54
Control,1,1,-1.7,123.8,110.39
Control,1,1,-1.7,124.0,107.76
Control,1,1,-1.7,124.2,104.48
Control,1,1,-1.7,124.4,100.46
Control,1,1,-1.7,124.6,95.66
Control,1,1,-1.7,124.8,90.15
Control,1,1,-1.7,125.0,84.05
Control,1,1,-1.7,125.2,77.55
Control,1,1,-1.7,125.4,70.88
Control,1,1,-1.7,125.6,64.3
Control,1,1,-1.7,125.8,58.08
Control,1,1,-1.7,126.0,52.46
Control,1,1,-1.7,126.2,47.62
Control,1,1,-1.7,126.4,43.73
Control,1,1,-1.7,126.6,40.85
Control,1,1,-1.7,126.8,39.0
Control,1,1,-1.7,127.0,38.14
Control,1,1,-1.7,127.2,38.15
Control,1,1,-1.7,127.4,38.91
Control,1,1,-1.7,127.6,40.26
Control,1,1,-1.7,127.8,42.03
Control,1,1,-1.7,128.0,44.1
Control,1,1,-1.7,128.2,46.33
Control,1,1,-1.7,128.4,48.67
Control,1,1,-1.7,128.6,51.07
Control,1,1,-1.7,128.8,53.55
Control,1,1,-1.7,129.0,56.15
Control,1,1,-1.7,129.2,58.95
Control,1,1,-1.7,129.4,62.02
Control,1,1,-1.7,129.6,65.43
Control,1,1,-1.7,129.8,69.25
Control,1,1,-1.7,130.0,73.49
Control,1,1,-1.7,130.2,78.13
Control,1,1,-1.7,130.4,83.11
Control,1,1,-1.7,130.6,88.31
Control,1,1,-1.7,130.8,93.59
Control,1,1,-1.7,131.0,98.75
Control,1,1,-1.7,131.2,103.61
Control,1,1,-1.7,131.4,107.96
Control,1,1,-1.7,131.6,111.62
Control,1,1,-1.7,131.8,114.42
Control,1,1,-1.7,132.0,116.26
Control,1,1,-1.7,132.2,117.07
Control,1,1,-1.7,132.4,116.85
Control,1,1,-1.7,132.6,115.63
Control,1,1,-1.7,132.8,113.51
Control,1,1,-1.7,133.0,110.63
Control,1,1,-1.7,133.2,107.16
Control,1,1,-1.7,133.4,103.28
Control,1,1,-1.7,133.6,99.18
Control,1,1,-1.7,133.8,95.03
Control,1,1,-1.7,134.0,90.99
Control,1,1,-1.7,134.2,87.16
Control,1,1,-1.7,134.4,83.65
Control,1,1,-1.7,134.6,80.5
Control,1,1,-1.7,134.8,77.7
Control,1,1,-1.7,135.0,75.24
Control,1,1,-1.7,135.2,73.05
Control,1,1,-1.7,135.4,71.05
Control,1,1,-1.7,135.6,69.16
Control,1,1,-1.7,135.8,67.27
Control,1,1,-1.7,136.0,65.28
Control,1,1,-1.7,136.2,63.12
Control,1,1,-1.7,136.4,60.73
