sample_id,condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
MOCK-01_LE,Control,1,1,-1.7,12.5,1.93
MOCK-01_LE,Control,1,1,-1.7,13.0,0.34
MOCK-01_LE,Control,1,1,-1.7,13.5,0.64
MOCK-01_LE,Control,1,1,-1.7,14.0,0.98
MOCK-01_LE,Control,1,1,-1.7,14.5,2.21
MOCK-01_LE,Control,1,1,-1.7,15.0,-1.87
MOCK-01_LE,Control,1,1,-1.7,15.5,2.89
MOCK-01_LE,Control,1,1,-1.7,16.0,2.4
MOCK-01_LE,Control,1,1,-1.7,16.5,0.48
MOCK-01_LE,Control,1,1,-1.7,17.0,1.12
MOCK-01_LE,Control,1,1,-1.7,17.5,-0.8
MOCK-01_LE,Control,1,1,-1.7,18.0,0.57
MOCK-01_LE,Control,1,1,-1.7,18.5,0.42
MOCK-01_LE,Control,1,1,-1.7,19.0,3.61
MOCK-01_LE,Control,1,1,-1.7,19.5,0.44
MOCK-01_LE,Control,1,1,-1.7,20.0,0.08
MOCK-01_LE,Control,1,1,-1.7,20.5,1.68
MOCK-01_LE,Control,1,1,-1.7,21.0,3.73
MOCK-01_LE,Control,1,1,-1.7,21.5,4.16
MOCK-01_LE,Control,1,1,-1.7,22.0,2.83
MOCK-01_LE,Control,1,1,-1.7,22.5,1.51
MOCK-01_LE,Control,1,1,-1.7,23.0,0.63
MOCK-01_LE,Control,1,1,-1.7,23.5,2.78
MOCK-01_LE,Control,1,1,-1.7,24.0,-0.13
MOCK-01_LE,Control,1,1,-1.7,24.5,0.66
MOCK-01_LE,Control,1,1,-1.7,25.0,1.48
MOCK-01_LE,Control,1,1,-1.7,25.5,0.58
MOCK-01_LE,Control,1,1,-1.7,26.0,0.36
MOCK-01_LE,Control,1,1,-1.7,26.5,-1.65
MOCK-01_LE,Control,1,1,-1.7,27.0,3.0
MOCK-01_LE,Control,1,1,-1.7,27.5,-0.04
MOCK-01_LE,Control,1,1,-1.7,28.0,3.99
MOCK-01_LE,Control,1,1,-1.7,28.5,4.62
MOCK-01_LE,Control,1,1,-1.7,29.0,4.85
MOCK-01_LE,Control,1,1,-1.7,29.5,1.78
MOCK-01_LE,Control,1,1,-1.7,30.0,1.48
MOCK-01_LE,Control,1,1,-1.7,30.5,2.35
MOCK-01_LE,Control,1,1,-1.7,31.0,2.32
MOCK-01_LE,Control,1,1,-1.7,31.5,0.6
MOCK-01_LE,Control,1,1,-1.7,32.0,0.58
MOCK-01_LE,Control,1,1,-1.7,32.5,4.06
MOCK-01_LE,Control,1,1,-1.7,33.0,2.3
MOCK-01_LE,Control,1,1,-1.7,33.5,1.83
MOCK-01_LE,Control,1,1,-1.7,34.0,2.98
MOCK-01_LE,Control,1,1,-1.7,34.5,4.02
MOCK-01_LE,Control,1,1,-1.7,35.0,1.95
MOCK-01_LE,Control,1,1,-1.7,35.5,1.63
MOCK-01_LE,Control,1,1,-1.7,36.0,3.21
MOCK-01_LE,Control,1,1,-1.7,36.5,4.72
MOCK-01_LE,Control,1,1,-1.7,37.0,5.39
MOCK-01_LE,Control,1,1,-1.7,37.5,3.45
MOCK-01_LE,Control,1,1,-1.7,38.0,3.34
MOCK-01_LE,Control,1,1,-1.7,38.5,2.05
MOCK-01_LE,Control,1,1,-1.7,39.0,3.8
MOCK-01_LE,Control,1,1,-1.7,39.5,4.02
MOCK-01_LE,Control,1,1,-1.7,40.0,1.67
MOCK-01_LE,Control,1,1,-1.7,40.5,4.31
MOCK-01_LE,Control,1,1,-1.7,41.0,4.87
MOCK-01_LE,Control,1,1,-1.7,41.5,2.56
MOCK-01_LE,Control,1,1,-1.7,42.0,6.48
MOCK-01_LE,Control,1,1,-1.7,42.5,3.73
MOCK-01_LE,Control,1,1,-1.7,43.0,3.24
MOCK-01_LE,Control,1,1,-1.7,43.5,3.97
MOCK-01_LE,Control,1,1,-1.7,44.0,4.2
MOCK-01_LE,Control,1,1,-1.7,44.5,3.16
MOCK-01_LE,Control,1,1,-1.7,45.0,5.85
MOCK-01_LE,Control,1,1,-1.7,45.5,4.35
MOCK-01_LE,Control,1,1,-1.7,46.0,1.58
MOCK-01_LE,Control,1,1,-1.7,46.5,5.28
MOCK-01_LE,Control,1,1,-1.7,47.0,4.83
MOCK-01_LE,Control,1,1,-1.7,47.5,5.06
MOCK-01_LE,Control,1,1,-1.7,48.0,5.16
MOCK-01_LE,Control,1,1,-1.7,48.5,7.67
MOCK-01_LE,Control,1,1,-1.7,49.0,2.31
MOCK-01_LE,Control,1,1,-1.7,49.5,4.12
MOCK-01_LE,Control,1,1,-1.7,50.0,6.77
MOCK-01_LE,Control,1,1,-1.7,50.5,3.91
MOCK-01_LE,Control,1,1,-1.7,51.0,7.51
MOCK-01_LE,Control,1,1,-1.7,51.5,3.1
MOCK-01_LE,Control,1,1,-1.7,52.0,8.08
MOCK-01_LE,Control,1,1,-1.7,52.5,3.84
MOCK-01_LE,Control,1,1,-1.7,53.0,5.01
MOCK-01_LE,Control,1,1,-1.7,53.5,4.35
MOCK-01_LE,Control,1,1,-1.7,54.0,4.15
MOCK-01_LE,Control,1,1,-1.7,54.5,3.06
MOCK-01_LE,Control,1,1,-1.7,55.0,6.71
MOCK-01_LE,Control,1,1,-1.7,55.5,3.06
MOCK-01_LE,Control,1,1,-1.7,56.0,8.77
MOCK-01_LE,Control,1,1,-1.7,56.5,8.1
MOCK-01_LE,Control,1,1,-1.7,57.0,7.38
MOCK-01_LE,Control,1,1,-1.7,57.5,4.51
MOCK-01_LE,Control,1,1,-1.7,58.0,5.3
MOCK-01_LE,Control,1,1,-1.7,58.5,5.39
MOCK-01_LE,Control,1,1,-1.7,59.0,5.29
MOCK-01_LE,Control,1,1,-1.7,59.5,7.01
MOCK-01_LE,Control,1,1,-1.7,60.0,3.81
MOCK-01_LE,Control,1,1,-1.7,60.5,7.96
MOCK-01_LE,Control,1,1,-1.7,61.0,2.52
MOCK-01_LE,Control,1,1,-1.7,61.5,8.06
MOCK-01_LE,Control,1,1,-1.7,62.0,6.22
MOCK-01_LE,Control,1,1,-1.7,62.5,6.15
MOCK-01_LE,Control,1,1,-1.7,63.0,7.44
MOCK-01_LE,Control,1,1,-1.7,63.5,4.2
MOCK-01_LE,Control,1,1,-1.7,64.0,5.45
MOCK-01_LE,Control,1,1,-1.7,64.5,10.19
MOCK-01_LE,Control,1,1,-1.7,65.0,4.67
MOCK-01_LE,Control,1,1,-1.7,65.5,3.94
MOCK-01_LE,Control,1,1,-1.7,66.0,7.09
MOCK-01_LE,Control,1,1,-1.7,66.5,4.82
MOCK-01_LE,Control,1,1,-1.7,67.0,5.84
MOCK-01_LE,Control,1,1,-1.7,67.5,5.76
MOCK-01_LE,Control,1,1,-1.7,68.0,5.87
MOCK-01_LE,Control,1,1,-1.7,68.5,6.48
MOCK-01_LE,Control,1,1,-1.7,69.0,6.87
MOCK-01_LE,Control,1,1,-1.7,69.5,5.9
MOCK-01_LE,Control,1,1,-1.7,70.0,5.17
MOCK-01_LE,Control,1,1,-1.7,70.5,8.1
MOCK-01_LE,Control,1,1,-1.7,71.0,6.92
MOCK-01_LE,Control,1,1,-1.7,71.5,5.75
MOCK-01_LE,Control,1,1,-1.7,72.0,5.14
MOCK-01_LE,Control,1,1,-1.7,72.5,5.76
MOCK-01_LE,Control,1,1,-1.7,73.0,8.98
MOCK-01_LE,Control,1,1,-1.7,73.5,8.77
MOCK-01_LE,Control,1,1,-1.7,74.0,8.47
MOCK-01_LE,Control,1,1,-1.7,74.5,7.49
MOCK-01_LE,Control,1,1,-1.7,75.0,8.98
MOCK-01_LE,Control,1,1,-1.7,75.5,7.54
MOCK-01_LE,Control,1,1,-1.7,76.0,4.57
MOCK-01_LE,Control,1,1,-1.7,76.5,4.73
MOCK-01_LE,Control,1,1,-1.7,77.0,9.3
MOCK-01_LE,Control,1,1,-1.7,77.5,7.45
MOCK-01_LE,Control,1,1,-1.7,78.0,5.11
MOCK-01_LE,Control,1,1,-1.7,78.5,5.53
MOCK-01_LE,Control,1,1,-1.7,79.0,8.01
MOCK-01_LE,Control,1,1,-1.7,79.5,10.06
MOCK-01_LE,Control,1,1,-1.7,80.0,8.83
MOCK-01_LE,Control,1,1,-1.7,80.5,4.23
MOCK-01_LE,Control,1,1,-1.7,81.0,7.07
MOCK-01_LE,Control,1,1,-1.7,81.5,9.24
MOCK-01_LE,Control,1,1,-1.7,82.0,8.36
MOCK-01_LE,Control,1,1,-1.7,82.5,7.46
MOCK-01_LE,Control,1,1,-1.7,83.0,7.9
MOCK-01_LE,Control,1,1,-1.7,83.5,7.47
MOCK-01_LE,Control,1,1,-1.7,84.0,5.29
MOCK-01_LE,Control,1,1,-1.7,84.5,6.74
MOCK-01_LE,Control,1,1,-1.7,85.0,9.3
MOCK-01_LE,Control,1,1,-1.7,85.5,7.39
MOCK-01_LE,Control,1,1,-1.7,86.0,9.32
MOCK-01_LE,Control,1,1,-1.7,86.5,8.17
MOCK-01_LE,Control,1,1,-1.7,87.0,7.43
MOCK-01_LE,Control,1,1,-1.7,87.5,9.43
MOCK-01_LE,Control,1,1,-1.7,88.0,6.6
MOCK-01_LE,Control,1,1,-1.7,88.5,9.43
MOCK-01_LE,Control,1,1,-1.7,89.0,7.79
MOCK-01_LE,Control,1,1,-1.7,89.5,7.79
MOCK-01_LE,Control,1,1,-1.7,90.0,7.49
MOCK-01_LE,Control,1,1,-1.7,90.5,8.32
MOCK-01_LE,Control,1,1,-1.7,91.0,6.03
MOCK-01_LE,Control,1,1,-1.7,91.5,7.67
MOCK-01_LE,Control,1,1,-1.7,92.0,8.49
MOCK-01_LE,Control,1,1,-1.7,92.5,8.44
MOCK-01_LE,Control,1,1,-1.7,93.0,8.14
MOCK-01_LE,Control,1,1,-1.7,93.5,5.95
MOCK-01_LE,Control,1,1,-1.7,94.0,7.6
MOCK-01_LE,Control,1,1,-1.7,94.5,4.29
MOCK-01_LE,Control,1,1,-1.7,95.0,7.68
MOCK-01_LE,Control,1,1,-1.7,95.5,9.01
MOCK-01_LE,Control,1,1,-1.7,96.0,7.33
MOCK-01_LE,Control,1,1,-1.7,96.5,4.43
MOCK-01_LE,Control,1,1,-1.7,97.0,9.47
MOCK-01_LE,Control,1,1,-1.7,97.5,7.62
MOCK-01_LE,Control,1,1,-1.7,98.0,6.33
MOCK-01_LE,Control,1,1,-1.7,98.5,8.95
MOCK-01_LE,Control,1,1,-1.7,99.0,7.54
MOCK-01_LE,Control,1,1,-1.7,99.5,5.23
MOCK-01_LE,Control,1,1,-1.7,100.0,7.74
MOCK-01_LE,Control,1,1,-1.7,100.5,7.29
MOCK-01_LE,Control,1,1,-1.7,101.0,8.86
MOCK-01_LE,Control,1,1,-1.7,101.5,6.59
MOCK-01_LE,Control,1,1,-1.7,102.0,6.88
MOCK-01_LE,Control,1,1,-1.7,102.5,8.61
MOCK-01_LE,Control,1,1,-1.7,103.0,7.8
MOCK-01_LE,Control,1,1,-1.7,103.5,7.47
MOCK-01_LE,Control,1,1,-1.7,104.0,6.63
MOCK-01_LE,Control,1,1,-1.7,104.5,5.4
MOCK-01_LE,Control,1,1,-1.7,105.0,9.24
MOCK-01_LE,Control,1,1,-1.7,105.5,10.95
MOCK-01_LE,Control,1,1,-1.7,106.0,1.96
MOCK-01_LE,Control,1,1,-1.7,106.5,6.89
MOCK-01_LE,Control,1,1,-1.7,107.0,8.57
MOCK-01_LE,Control,1,1,-1.7,107.5,8.6
MOCK-01_LE,Control,1,1,-1.7,108.0,8.08
MOCK-01_LE,Control,1,1,-1.7,108.5,7.3
MOCK-01_LE,Control,1,1,-1.7,109.0,7.24
MOCK-01_LE,Control,1,1,-1.7,109.5,5.08
MOCK-01_LE,Control,1,1,-1.7,110.0,6.63
MOCK-01_LE,Control,1,1,-1.7,110.5,8.13
MOCK-01_LE,Control,1,1,-1.7,111.0,8.61
MOCK-01_LE,Control,1,1,-1.7,111.5,7.58
MOCK-01_LE,Control,1,1,-1.7,112.0,9.76
MOCK-01_LE,Control,1,1,-1.7,112.5,5.75
MOCK-01_LE,Control,1,1,-1.7,113.0,5.32
MOCK-01_LE,Control,1,1,-1.7,113.5,7.38
MOCK-01_LE,Control,1,1,-1.7,114.0,6.88
MOCK-01_LE,Control,1,1,-1.7,114.5,6.95
MOCK-01_LE,Control,1,1,-1.7,115.0,6.36
MOCK-01_LE,Control,1,1,-1.7,115.5,7.38
MOCK-01_LE,Control,1,1,-1.7,116.0,7.62
MOCK-01_LE,Control,1,1,-1.7,116.5,8.22
MOCK-01_LE,Control,1,1,-1.7,117.0,8.6
MOCK-01_LE,Control,1,1,-1.7,117.5,5.92
MOCK-01_LE,Control,1,1,-1.7,118.0,5.32
MOCK-01_LE,Control,1,1,-1.7,118.5,5.47
MOCK-01_LE,Control,1,1,-1.7,119.0,4.57
MOCK-01_LE,Control,1,1,-1.7,119.5,9.28
MOCK-01_LE,Control,1,1,-1.7,120.0,6.32
MOCK-01_LE,Control,1,1,-1.7,120.5,7.47
MOCK-01_LE,Control,1,1,-1.7,121.0,4.99
MOCK-01_LE,Control,1,1,-1.7,121.5,6.97
MOCK-01_LE,Control,1,1,-1.7,122.0,5.13
MOCK-01_LE,Control,1,1,-1.7,122.5,6.32
MOCK-01_LE,Control,1,1,-1.7,123.0,6.62
MOCK-01_LE,Control,1,1,-1.7,123.5,8.86
MOCK-01_LE,Control,1,1,-1.7,124.0,7.28
MOCK-01_LE,Control,1,1,-1.7,124.5,7.91
MOCK-01_LE,Control,1,1,-1.7,125.0,6.9
MOCK-01_LE,Control,1,1,-1.7,125.5,6.62
MOCK-01_LE,Control,1,1,-1.7,126.0,4.28
MOCK-01_LE,Control,1,1,-1.7,126.5,8.17
MOCK-01_LE,Control,1,1,-1.7,127.0,8.79
MOCK-01_LE,Control,1,1,-1.7,127.5,5.14
MOCK-01_LE,Control,1,1,-1.7,128.0,7.62
MOCK-01_LE,Control,1,1,-1.7,128.5,6.49
MOCK-01_LE,Control,1,1,-1.7,129.0,4.09
MOCK-01_LE,Control,1,1,-1.7,129.5,4.98
MOCK-01_LE,Control,1,1,-1.7,130.0,7.15
MOCK-01_LE,Control,1,1,-1.7,130.5,5.77
MOCK-01_LE,Control,1,1,-1.7,131.0,7.84
MOCK-01_LE,Control,1,1,-1.7,131.5,7.22
MOCK-01_LE,Control,1,1,-1.7,132.0,6.55
MOCK-01_LE,Control,1,1,-1.7,132.5,6.41
MOCK-01_LE,Control,1,1,-1.7,133.0,8.07
MOCK-01_LE,Control,1,1,-1.7,133.5,8.54
MOCK-01_LE,Control,1,1,-1.7,134.0,5.47
MOCK-01_LE,Control,1,1,-1.7,134.5,5.94
MOCK-01_LE,Control,1,1,-1.7,135.0,3.53
MOCK-01_LE,Control,1,1,-1.7,135.5,5.72
MOCK-01_LE,Control,1,1,-1.7,136.0,8.8
MOCK-01_LE,Control,1,1,-1.7,136.5,7.78
MOCK-01_LE,Control,1,1,-1.7,137.0,6.38
MOCK-01_LE,Control,1,1,-1.7,137.5,7.75
MOCK-01_LE,Control,1,1,-1.7,138.0,5.0
MOCK-01_LE,Control,1,1,-1.7,138.5,7.12
MOCK-01_LE,Control,1,1,-1.7,139.0,6.74
MOCK-01_LE,Control,1,1,-1.7,139.5,5.03
MOCK-01_LE,Control,1,1,-1.7,140.0,7.34
MOCK-01_LE,Control,1,1,-1.7,140.5,9.0
MOCK-01_LE,Control,1,1,-1.7,141.0,5.8
MOCK-01_LE,Control,1,1,-1.7,141.5,5.51
MOCK-01_LE,Control,1,1,-1.7,142.0,4.65
MOCK-01_LE,Control,1,1,-1.7,142.5,4.89
MOCK-01_LE,Control,1,1,-1.7,143.0,4.36
MOCK-01_LE,Control,1,1,-1.7,143.5,5.09
MOCK-01_LE,Control,1,1,-1.7,144.0,7.31
MOCK-01_LE,Control,1,1,-1.7,144.5,6.81
MOCK-01_LE,Control,1,1,-1.7,145.0,3.46
MOCK-01_LE,Control,1,1,-1.7,145.5,7.42
MOCK-01_LE,Control,1,1,-1.7,146.0,8.7
MOCK-01_LE,Control,1,1,-1.7,146.5,4.74
MOCK-01_LE,Control,1,1,-1.7,147.0,4.33
MOCK-01_LE,Control,1,1,-1.7,147.5,6.33
MOCK-01_LE,Control,1,1,-1.7,148.0,5.48
MOCK-01_LE,Control,1,1,-1.7,148.5,7.11
MOCK-01_LE,Control,1,1,-1.7,149.0,4.87
MOCK-01_LE,Control,1,1,-1.7,149.5,4.96
MOCK-01_LE,Control,1,1,-1.7,150.0,3.75
MOCK-01_LE,Control,1,1,-1.7,150.5,4.42
MOCK-01_LE,Control,1,1,-1.7,151.0,6.71
MOCK-01_LE,Control,1,1,-1.7,151.5,5.76
MOCK-01_LE,Control,1,1,-1.7,152.0,6.61
MOCK-01_LE,Control,1,1,-1.7,152.5,6.52
MOCK-01_LE,Control,1,1,-1.7,153.0,6.97
MOCK-01_LE,Control,1,1,-1.7,153.5,5.43
MOCK-01_LE,Control,1,1,-1.7,154.0,6.12
MOCK-01_LE,Control,1,1,-1.7,154.5,4.27
MOCK-01_LE,Control,1,1,-1.7,155.0,3.49
MOCK-01_LE,Control,1,1,-1.7,155.5,4.45
MOCK-01_LE,Control,1,1,-1.7,156.0,5.96
MOCK-01_LE,Control,1,1,-1.7,156.5,5.33
MOCK-01_LE,Control,1,1,-1.7,157.0,6.97
MOCK-01_LE,Control,1,1,-1.7,157.5,3.92
MOCK-01_LE,Control,1,1,-1.7,158.0,4.91
MOCK-01_LE,Control,1,1,-1.7,158.5,4.72
MOCK-01_LE,Control,1,1,-1.7,159.0,3.77
MOCK-01_LE,Control,1,1,-1.7,159.5,5.35
MOCK-01_LE,Control,1,1,-1.7,160.0,3.46
MOCK-01_LE,Control,1,1,-1.7,160.5,4.61
MOCK-01_LE,Control,1,1,-1.7,161.0,3.76
MOCK-01_LE,Control,1,1,-1.7,161.5,4.45
MOCK-01_LE,Control,1,1,-1.7,162.0,4.55
MOCK-01_LE,Control,1,1,-1.7,162.5,3.73
MOCK-01_LE,Control,1,1,-1.7,163.0,5.53
MOCK-01_LE,Control,1,1,-1.7,163.5,3.7
MOCK-01_LE,Control,1,1,-1.7,164.0,3.08
MOCK-01_LE,Control,1,1,-1.7,164.5,4.65
MOCK-01_LE,Control,1,1,-1.7,165.0,3.84
MOCK-01_LE,Control,1,1,-1.7,165.5,4.11
MOCK-01_LE,Control,1,1,-1.7,166.0,6.81
MOCK-01_LE,Control,1,1,-1.7,166.5,5.13
MOCK-01_LE,Control,1,1,-1.7,167.0,3.61
MOCK-01_LE,Control,1,1,-1.7,167.5,5.07
MOCK-01_LE,Control,1,1,-1.7,168.0,2.06
MOCK-01_LE,Control,1,1,-1.7,168.5,5.78
MOCK-01_LE,Control,1,1,-1.7,169.0,5.77
MOCK-01_LE,Control,1,1,-1.7,169.5,5.38
MOCK-01_LE,Control,1,1,-1.7,170.0,5.1
MOCK-01_LE,Control,1,1,-1.7,170.5,5.55
MOCK-01_LE,Control,1,1,-1.7,171.0,6.17
MOCK-01_LE,Control,1,1,-1.7,171.5,5.06
MOCK-01_LE,Control,1,1,-1.7,172.0,4.45
MOCK-01_LE,Control,1,1,-1.7,172.5,1.75
MOCK-01_LE,Control,1,1,-1.7,173.0,2.71
MOCK-01_LE,Control,1,1,-1.7,173.5,4.64
MOCK-01_LE,Control,1,1,-1.7,174.0,6.14
MOCK-01_LE,Control,1,1,-1.7,174.5,5.28
MOCK-01_LE,Control,1,1,-1.7,175.0,3.95
MOCK-01_LE,Control,1,1,-1.7,175.5,3.68
MOCK-01_LE,Control,1,1,-1.7,176.0,3.6
MOCK-01_LE,Control,1,1,-1.7,176.5,3.87
MOCK-01_LE,Control,1,1,-1.7,177.0,5.53
MOCK-01_LE,Control,1,1,-1.7,177.5,3.96
MOCK-01_LE,Control,1,1,-1.7,178.0,7.19
MOCK-01_LE,Control,1,1,-1.7,178.5,2.33
MOCK-01_LE,Control,1,1,-1.7,179.0,3.41
MOCK-01_LE,Control,1,1,-1.7,179.5,4.86
MOCK-01_LE,Control,1,1,-1.7,180.0,3.0
MOCK-01_LE,Control,1,1,-1.7,180.5,4.21
MOCK-01_LE,Control,1,1,-1.7,181.0,5.64
MOCK-01_LE,Control,1,1,-1.7,181.5,1.56
MOCK-01_LE,Control,1,1,-1.7,182.0,5.22
MOCK-01_LE,Control,1,1,-1.7,182.5,2.76
MOCK-01_LE,Control,1,1,-1.7,183.0,3.58
MOCK-01_LE,Control,1,1,-1.7,183.5,3.22
MOCK-01_LE,Control,1,1,-1.7,184.0,3.66
MOCK-01_LE,Control,1,1,-1.7,184.5,4.18
MOCK-01_LE,Control,1,1,-1.7,185.0,2.53
MOCK-01_LE,Control,1,1,-1.7,185.5,2.33
MOCK-01_LE,Control,1,1,-1.7,186.0,7.3
MOCK-01_LE,Control,1,1,-1.7,186.5,6.52
MOCK-01_LE,Control,1,1,-1.7,187.0,4.0
MOCK-01_LE,Control,1,1,-1.7,187.5,2.4
MOCK-01_LE,Control,1,1,-1.7,188.0,6.06
MOCK-01_LE,Control,1,1,-1.7,188.5,6.81
MOCK-01_LE,Control,1,1,-1.7,189.0,4.02
MOCK-01_LE,Control,1,1,-1.7,189.5,3.72
MOCK-01_LE,Control,1,1,-1.7,190.0,3.68
MOCK-01_LE,Control,1,1,-1.7,190.5,4.87
MOCK-01_LE,Control,1,1,-1.7,191.0,4.32
MOCK-01_LE,Control,1,1,-1.7,191.5,2.19
MOCK-01_LE,Control,1,1,-1.7,192.0,3.59
MOCK-01_LE,Control,1,1,-1.7,192.5,1.79
MOCK-01_LE,Control,1,1,-1.7,193.0,2.33
MOCK-01_LE,Control,1,1,-1.7,193.5,2.74
MOCK-01_LE,Control,1,1,-1.7,194.0,2.84
MOCK-01_LE,Control,1,1,-1.7,194.5,2.66
MOCK-01_LE,Control,1,1,-1.7,195.0,3.51
MOCK-01_LE,Control,1,1,-1.7,195.5,2.38
MOCK-01_LE,Control,1,1,-1.7,196.0,2.0
MOCK-01_LE,Control,1,1,-1.7,196.5,3.81
MOCK-01_LE,Control,1,1,-1.7,197.0,2.66
MOCK-01_LE,Control,1,1,-1.7,197.5,3.32
MOCK-01_LE,Control,1,1,-1.7,198.0,0.94
MOCK-01_LE,Control,1,1,-1.7,198.5,2.72
MOCK-01_LE,Control,1,1,-1.7,199.0,1.2
MOCK-01_LE,Control,1,1,-1.7,199.5,2.38
MOCK-01_LE,Control,1,1,-1.7,200.0,2.9
MOCK-01_LE,Control,1,1,-1.7,200.5,5.32
MOCK-01_LE,Control,1,1,-1.7,201.0,3.24
MOCK-01_LE,Control,1,1,-1.7,201.5,4.37
MOCK-01_LE,Control,1,1,-1.7,202.0,1.73
MOCK-01_LE,Control,1,1,-1.7,202.5,4.72
MOCK-01_LE,Control,1,1,-1.7,203.0,4.83
MOCK-01_LE,Control,1,1,-1.7,203.5,4.2
MOCK-01_LE,Control,1,1,-1.7,204.0,3.32
MOCK-01_LE,Control,1,1,-1.7,204.5,2.05
MOCK-01_LE,Control,1,1,-1.7,205.0,2.34
MOCK-01_LE,Control,1,1,-1.7,205.5,5.89
MOCK-01_LE,Control,1,1,-1.7,206.0,3.36
MOCK-01_LE,Control,1,1,-1.7,206.5,4.56
MOCK-01_LE,Control,1,1,-1.7,207.0,3.05
MOCK-01_LE,Control,1,1,-1.7,207.5,2.73
MOCK-01_LE,Control,1,1,-1.7,208.0,4.12
MOCK-01_LE,Control,1,1,-1.7,208.5,2.68
MOCK-01_LE,Control,1,1,-1.7,209.0,4.27
MOCK-01_LE,Control,1,1,-1.7,209.5,1.67
MOCK-01_LE,Control,1,1,-1.7,210.0,2.04
