sample_id,animal,eye,condition,condition_order,intensity_group,intensity_log_cd_s_m2,b_wave_uv
MOCK-06_RE,MOCK-06,RE,Control,1,5,1.9,213.76
MOCK-06_RE,MOCK-06,RE,Control,1,6,2.8,212.06
MOCK-06_RE,MOCK-06,RE,Control,1,7,3.1,214.44
MOCK-07_LE,MOCK-07,LE,Control,1,1,-1.7,113.06
MOCK-07_LE,MOCK-07,LE,Control,1,2,-0.8,205.83
MOCK-07_LE,MOCK-07,LE,Control,1,3,0.1,261.59
MOCK-07_LE,MOCK-07,LE,Control,1,4,1.0,273.04
MOCK-07_LE,MOCK-07,LE,Control,1,5,1.9,255.48
MOCK-07_LE,MOCK-07,LE,Control,1,6,2.8,267.09
MOCK-07_LE,MOCK-07,LE,Control,1,7,3.1,267.98
MOCK-08_RE,MOCK-08,RE,Control,1,1,-1.7,117.94
MOCK-08_RE,MOCK-08,RE,Control,1,2,-0.8,212.47
MOCK-08_RE,MOCK-08,RE,Control,1,3,0.1,260.6
MOCK-08_RE,MOCK-08,RE,Control,1,4,1.0,252.69
MOCK-08_RE,MOCK-08,RE,Control,1,5,1.9,255.2
MOCK-08_RE,MOCK-08,RE,Control,1,6,2.8,257.08
MOCK-08_RE,MOCK-08,RE,Control,1,7,3.1,276.19
MOCK-09_LE,MOCK-09,LE,Untreated,2,1,-1.7,1.49
MOCK-09_LE,MOCK-09,LE,Untreated,2,2,-0.8,0.0
MOCK-09_LE,MOCK-09,LE,Untreated,2,3,0.1,0.81
MOCK-09_LE,MOCK-09,LE,Untreated,2,4,1.0,14.69
MOCK-09_LE,MOCK-09,LE,Untreated,2,5,1.9,26.09
MOCK-09_LE,MOCK-09,LE,Untreated,2,6,2.8,28.79
MOCK-09_LE,MOCK-09,LE,Untreated,2,7,3.1,26.71
MOCK-10_RE,MOCK-10,RE,Untreated,2,1,-1.7,0.13
MOCK-10_RE,MOCK-10,RE,Untreated,2,2,-0.8,0.0
MOCK-10_RE,MOCK-10,RE,Untreated,2,3,0.1,0.78
MOCK-10_RE,MOCK-10,RE,Untreated,2,4,1.0,9.2
MOCK-10_RE,MOCK-10,RE,Untreated,2,5,1.9,25.82
MOCK-10_RE,MOCK-10,RE,Untreated,2,6,2.8,30.41
MOCK-10_RE,MOCK-10,RE,Untreated,2,7,3.1,28.15
MOCK-11_LE,MOCK-11,LE,Untreated,2,1,-1.7,0.12
MOCK-11_LE,MOCK-11,LE,Untreated,2,2,-0.8,0.0
MOCK-11_LE,MOCK-11,LE,Untreated,2,3,0.1,0.85
MOCK-11_LE,MOCK-11,LE,Untreated,2,4,1.0,14.63
MOCK-11_LE,MOCK-11,LE,Untreated,2,5,1.9,39.68
MOCK-11_LE,MOCK-11,LE,Untreated,2,6,2.8,48.18
MOCK-11_LE,MOCK-11,LE,Untreated,2,7,3.1,47.15
MOCK-12_RE,MOCK-12,RE,Untreated,2,1,-1.7,0.0
MOCK-12_RE,MOCK-12,RE,Untreated,2,2,-0.8,0.0
MOCK-12_RE,MOCK-12,RE,Untreated,2,3,0.1,1.26
MOCK-12_RE,MOCK-12,RE,Untreated,2,4,1.0,10.77
MOCK-12_RE,MOCK-12,RE,Untreated,2,5,1.9,30.65
MOCK-12_RE,MOCK-12,RE,Untreated,2,6,2.8,32.98
MOCK-12_RE,MOCK-12,RE,Untreated,2,7,3.1,30.42
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,1,-1.7,0.0
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,3,0.1,0.59
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,4,1.0,26.44
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,5,1.9,48.63
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,6,2.8,53.5
MOCK-13_LE,MOCK-13,LE,AAV8-RK-PDE6B,3,7,3.1,51.32
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,1,-1.7,0.0
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,2,-0.8,0.06
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,3,0.1,1.1
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,4,1.0,37.96
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,5,1.9,50.04
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,6,2.8,50.92
MOCK-14_RE,MOCK-14,RE,AAV8-RK-PDE6B,3,7,3.1,49.47
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,1,-1.7,0.73
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,3,0.1,4.8
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,4,1.0,70.11
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,5,1.9,77.6
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,6,2.8,79.66
MOCK-15_LE,MOCK-15,LE,AAV8-RK-PDE6B,3,7,3.1,76.91
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,1,-1.7,0.0
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,3,0.1,2.86
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,4,1.0,75.93
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,5,1.9,88.79
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,6,2.8,87.45
MOCK-16_RE,MOCK-16,RE,AAV8-RK-PDE6B,3,7,3.1,96.05
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,1,-1.7,0.62
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,3,0.1,0.24
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,4,1.0,36.7
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,5,1.9,51.65
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,6,2.8,49.26
MOCK-17_LE,MOCK-17,LE,AAV8-RK-PDE6B,3,7,3.1,53.05
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,1,-1.7,0.0
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,3,0.1,0.43
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,4,1.0,33.16
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,5,1.9,46.05
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,6,2.8,45.47
MOCK-18_RE,MOCK-18,RE,AAV8-RK-PDE6B,3,7,3.1,43.41
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,1,-1.7,0.0
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,3,0.1,1.34
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,4,1.0,38.61
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,5,1.9,52.73
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,6,2.8,53.35
MOCK-19_LE,MOCK-19,LE,AAV8-RK-PDE6B,3,7,3.1,51.11
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,0.0
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,0.0
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,3,0.1,0.87
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,4,1.0,7.08
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,5,1.9,22.75
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,6,2.8,27.07
MOCK-20_RE,MOCK-20,RE,AAV8-RK-GFP-polyA-stuffer,4,7,3.1,27.23
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,0.0
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,0.0
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,3,0.1,0.42
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,4,1.0,10.07
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,5,1.9,23.02
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,6,2.8,23.49
MOCK-21_LE,MOCK-21,LE,AAV8-RK-GFP-polyA-stuffer,4,7,3.1,25.02
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,0.67
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,0.0
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,3,0.1,1.29
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,4,1.0,14.77
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,5,1.9,33.45
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,6,2.8,36.64
MOCK-22_RE,MOCK-22,RE,AAV8-RK-GFP-polyA-stuffer,4,7,3.1,36.57
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,1,-1.7,0.0
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,2,-0.8,0.0
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,3,0.1,1.22
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,4,1.0,10.52
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,5,1.9,19.71
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,6,2.8,22.04
MOCK-23_LE,MOCK-23,LE,AAV8-CMV-GFP,5,7,3.1,22.35
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,1,-1.7,0.12
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,2,-0.8,0.07
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,3,0.1,0.74
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,4,1.0,6.61
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,5,1.9,28.44
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,6,2.8,35.01
MOCK-24_RE,MOCK-24,RE,AAV8-CMV-GFP,5,7,3.1,34.45
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,1,-1.7,0.3
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,2,-0.8,0.36
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,3,0.1,1.19
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,4,1.0,4.68
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,5,1.9,21.56
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,6,2.8,23.99
MOCK-25_LE,MOCK-25,LE,AAV8-CMV-GFP,5,7,3.1,24.59
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,1,-1.7,0.0
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,2,-0.8,0.65
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,3,0.1,1.02
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,4,1.0,10.67
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,5,1.9,22.04
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,6,2.8,23.26
MOCK-26_RE,MOCK-26,RE,AAV8-CMV-GFP,5,7,3.1,24.15
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,0.0
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.26
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,3,0.1,2.23
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,4,1.0,91.95
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,5,1.9,123.06
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,6,2.8,120.29
MOCK-27_LE,MOCK-27,LE,AAV8-RK-PDE6B-3UTR,6,7,3.1,132.23
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,0.0
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.89
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,3,0.1,2.7
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,4,1.0,138.97
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,5,1.9,200.26
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,6,2.8,202.12
MOCK-28_RE,MOCK-28,RE,AAV8-RK-PDE6B-3UTR,6,7,3.1,203.77
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,1.02
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.35
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,3,0.1,3.15
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,4,1.0,129.22
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,5,1.9,174.74
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,6,2.8,183.48
MOCK-29_LE,MOCK-29,LE,AAV8-RK-PDE6B-3UTR,6,7,3.1,174.0
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,1,-1.7,0.64
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,2,-0.8,0.0
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,3,0.1,15.94
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,4,1.0,147.1
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,5,1.9,165.9
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,6,2.8,166.51
MOCK-30_RE,MOCK-30,RE,AAV8-RK-PDE6B-3UTR,6,7,3.1,161.49
