condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
Control,1,1,-1.7,33.2,-36.41
Control,1,1,-1.7,33.4,-35.17
Control,1,1,-1.7,33.6,-32.18
Control,1,1,-1.7,33.8,-27.62
Control,1,1,-1.7,34.0,-21.82
Control,1,1,-1.7,34.2,-15.21
Control,1,1,-1.7,34.4,-8.31
Control,1,1,-1.7,34.6,-1.63
Control,1,1,-1.7,34.8,4.31
Control,1,1,-1.7,35.0,9.09
Control,1,1,-1.7,35.2,12.41
Control,1,1,-1.7,35.4,14.1
Control,1,1,-1.7,35.6,14.17
Control,1,1,-1.7,35.8,12.77
Control,1,1,-1.7,36.0,10.18
Control,1,1,-1.7,36.2,6.8
Control,1,1,-1.7,36.4,3.05
Control,1,1,-1.7,36.6,-0.6
Control,1,1,-1.7,36.8,-3.77
Control,1,1,-1.7,37.0,-6.13
Control,1,1,-1.7,37.2,-7.48
Control,1,1,-1.7,37.4,-7.77
Control,1,1,-1.7,37.6,-7.06
Control,1,1,-1.7,37.8,-5.55
Control,1,1,-1.7,38.0,-3.53
Control,1,1,-1.7,38.2,-1.34
Control,1,1,-1.7,38.4,0.66
Control,1,1,-1.7,38.6,2.15
Control,1,1,-1.7,38.8,2.87
Control,1,1,-1.7,39.0,2.68
Control,1,1,-1.7,39.2,1.52
Control,1,1,-1.7,39.4,-0.52
Control,1,1,-1.7,39.6,-3.25
Control,1,1,-1.7,39.8,-6.4
Control,1,1,-1.7,40.0,-9.66
Control,1,1,-1.7,40.2,-12.69
Control,1,1,-1.7,40.4,-15.19
Control,1,1,-1.7,40.6,-16.92
Control,1,1,-1.7,40.8,-17.74
Control,1,1,-1.7,41.0,-17.61
Control,1,1,-1.7,41.2,-16.58
Control,1,1,-1.7,41.4,-14.83
Control,1,1,-1.7,41.6,-12.6
Control,1,1,-1.7,41.8,-10.18
Control,1,1,-1.7,42.0,-7.88
Control,1,1,-1.7,42.2,-3.44
Control,1,1,-1.7,42.4,-3.9
Control,1,1,-1.7,42.6,-5.47
Control,1,1,-1.7,42.8,-8.04
Control,1,1,-1.7,43.0,-11.39
Control,1,1,-1.7,43.2,-15.24
Control,1,1,-1.7,43.4,-19.23
Control,1,1,-1.7,43.6,-22.99
Control,1,1,-1.7,43.8,-26.17
Control,1,1,-1.7,44.0,-28.5
Control,1,1,-1.7,44.2,-29.78
Control,1,1,-1.7,44.4,-29.92
Control,1,1,-1.7,44.6,-28.94
Control,1,1,-1.7,44.8,-27.0
Control,1,1,-1.7,45.0,-24.33
Control,1,1,-1.7,45.2,-21.24
Control,1,1,-1.7,45.4,-18.05
Control,1,1,-1.7,45.6,-15.11
Control,1,1,-1.7,45.8,-12.71
Control,1,1,-1.7,46.0,-11.09
Control,1,1,-1.7,46.2,-10.39
Control,1,1,-1.7,46.4,-10.64
Control,1,1,-1.7,46.6,-11.77
Control,1,1,-1.7,46.8,-13.63
Control,1,1,-1.7,47.0,-15.95
Control,1,1,-1.7,47.2,-18.44
Control,1,1,-1.7,47.4,-20.79
Control,1,1,-1.7,47.6,-22.67
Control,1,1,-1.7,47.8,-23.8
Control,1,1,-1.7,48.0,-23.97
Control,1,1,-1.7,48.2,-23.05
Control,1,1,-1.7,48.4,-21.0
Control,1,1,-1.7,48.6,-17.88
Control,1,1,-1.7,48.8,-13.82
Control,1,1,-1.7,49.0,-9.04
Control,1,1,-1.7,49.2,-3.84
Control,1,1,-1.7,49.4,1.47
Control,1,1,-1.7,49.6,6.58
Control,1,1,-1.7,49.8,11.15
Control,1,1,-1.7,50.0,14.91
Control,1,1,-1.7,50.2,17.62
Control,1,1,-1.7,50.4,19.13
Control,1,1,-1.7,50.6,19.34
Control,1,1,-1.7,50.8,18.25
Control,1,1,-1.7,51.0,15.94
Control,1,1,-1.7,51.2,12.54
Control,1,1,-1.7,51.4,8.26
Control,1,1,-1.7,51.6,3.36
Control,1,1,-1.7,51.8,-1.89
Control,1,1,-1.7,52.0,-7.17
Control,1,1,-1.7,52.2,-12.2
Control,1,1,-1.7,52.4,-16.71
Control,1,1,-1.7,52.6,-20.47
Control,1,1,-1.7,52.8,-23.3
Control,1,1,-1.7,53.0,-25.09
Control,1,1,-1.7,53.2,-25.79
Control,1,1,-1.7,53.4,-25.42
Control,1,1,-1.7,53.6,-24.08
Control,1,1,-1.7,53.8,-21.9
Control,1,1,-1.7,54.0,-19.07
Control,1,1,-1.7,54.2,-15.81
Control,1,1,-1.7,54.4,-12.33
Control,1,1,-1.7,54.6,-8.85
Control,1,1,-1.7,54.8,-5.57
Control,1,1,-1.7,55.0,-2.64
Control,1,1,-1.7,55.2,-0.18
Control,1,1,-1.7,55.4,1.76
Control,1,1,-1.7,55.6,3.15
Control,1,1,-1.7,55.8,4.04
Control,1,1,-1.7,56.0,4.47
Control,1,1,-1.7,56.2,4.55
Control,1,1,-1.7,56.4,4.36
Control,1,1,-1.7,56.6,4.0
Control,1,1,-1.7,56.8,3.56
Control,1,1,-1.7,57.0,3.09
Control,1,1,-1.7,57.2,2.66
Control,1,1,-1.7,57.4,2.27
Control,1,1,-1.7,57.6,1.95
Control,1,1,-1.7,57.8,1.7
Control,1,1,-1.7,58.0,1.53
Control,1,1,-1.7,58.2,1.44
Control,1,1,-1.7,58.4,1.49
Control,1,1,-1.7,58.6,1.71
Control,1,1,-1.7,58.8,2.18
Control,1,1,-1.7,59.0,2.97
Control,1,1,-1.7,59.2,4.18
Control,1,1,-1.7,59.4,5.86
Control,1,1,-1.7,59.6,8.06
Control,1,1,-1.7,59.8,10.76
Control,1,1,-1.7,60.0,13.91
Control,1,1,-1.7,60.2,17.38
Control,1,1,-1.7,60.4,20.98
Control,1,1,-1.7,60.6,24.47
Control,1,1,-1.7,60.8,27.57
Control,1,1,-1.7,61.0,29.97
Control,1,1,-1.7,61.2,31.37
Control,1,1,-1.7,61.4,31.52
Control,1,1,-1.7,61.6,30.21
Control,1,1,-1.7,61.8,27.34
Control,1,1,-1.7,62.0,22.91
Control,1,1,-1.7,62.2,17.06
Control,1,1,-1.7,62.4,10.01
Control,1,1,-1.7,62.6,2.12
Control,1,1,-1.7,62.8,-6.17
Control,1,1,-1.7,63.0,-14.38
Control,1,1,-1.7,63.2,-22.02
Control,1,1,-1.7,63.4,-28.59
Control,1,1,-1.7,63.6,-33.7
Control,1,1,-1.7,63.8,-37.02
Control,1,1,-1.7,64.0,-38.38
Control,1,1,-1.7,64.2,-37.74
Control,1,1,-1.7,64.4,-35.2
Control,1,1,-1.7,64.6,-31.0
Control,1,1,-1.7,64.8,-25.53
Control,1,1,-1.7,65.0,-19.22
Control,1,1,-1.7,65.2,-12.59
Control,1,1,-1.7,65.4,-6.15
Control,1,1,-1.7,65.6,-0.38
Control,1,1,-1.7,65.8,4.3
Control,1,1,-1.7,66.0,7.6
Control,1,1,-1.7,66.2,9.35
Control,1,1,-1.7,66.4,9.49
Control,1,1,-1.7,66.6,8.15
Control,1,1,-1.7,66.8,5.53
Control,1,1,-1.7,67.0,1.99
Control,1,1,-1.7,67.2,-2.06
Control,1,1,-1.7,67.4,-6.18
Control,1,1,-1.7,67.6,-9.91
Control,1,1,-1.7,67.8,-12.83
Control,1,1,-1.7,68.0,-14.59
Control,1,1,-1.7,68.2,-14.93
Control,1,1,-1.7,68.4,-13.72
Control,1,1,-1.7,68.6,-10.93
Control,1,1,-1.7,68.8,-6.7
Control,1,1,-1.7,69.0,-1.25
Control,1,1,-1.7,69.2,5.08
Control,1,1,-1.7,69.4,11.9
Control,1,1,-1.7,69.6,18.74
Control,1,1,-1.7,69.8,25.16
Control,1,1,-1.7,70.0,30.73
Control,1,1,-1.7,70.2,35.07
Control,1,1,-1.7,70.4,37.92
Control,1,1,-1.7,70.6,39.11
Control,1,1,-1.7,70.8,38.59
Control,1,1,-1.7,71.0,36.45
Control,1,1,-1.7,71.2,32.89
Control,1,1,-1.7,71.4,28.22
Control,1,1,-1.7,71.6,22.82
Control,1,1,-1.7,71.8,17.13
Control,1,1,-1.7,72.0,11.59
Control,1,1,-1.7,72.2,6.6
Control,1,1,-1.7,72.4,2.54
Control,1,1,-1.7,72.6,-0.36
Control,1,1,-1.7,72.8,-1.92
Control,1,1,-1.7,73.0,-2.12
Control,1,1,-1.7,73.2,-1.06
Control,1,1,-1.7,73.4,1.07
Control,1,1,-1.7,73.6,3.98
Control,1,1,-1.7,73.8,7.33
Control,1,1,-1.7,74.0,10.75
Control,1,1,-1.7,74.2,13.9
Control,1,1,-1.7,74.4,16.49
Control,1,1,-1.7,74.6,18.29
Control,1,1,-1.7,74.8,19.2
Control,1,1,-1.7,75.0,19.2
Control,1,1,-1.7,75.2,18.4
Control,1,1,-1.7,75.4,16.97
Control,1,1,-1.7,75.6,15.16
Control,1,1,-1.7,75.8,13.25
Control,1,1,-1.7,76.0,11.51
Control,1,1,-1.7,76.2,10.17
Control,1,1,-1.7,76.4,9.4
Control,1,1,-1.7,76.6,9.27
Control,1,1,-1.7,76.8,9.77
Control,1,1,-1.7,77.0,10.78
Control,1,1,-1.7,77.2,12.13
Control,1,1,-1.7,77.4,13.58
Control,1,1,-1.7,77.6,14.88
Control,1,1,-1.7,77.8,15.81
Control,1,1,-1.7,78.0,16.2
Control,1,1,-1.7,78.2,15.98
Control,1,1,-1.7,78.4,15.14
Control,1,1,-1.7,78.6,13.81
Control,1,1,-1.7,78.8,12.21
Control,1,1,-1.7,79.0,10.61
Control,1,1,-1.7,79.2,9.33
Control,1,1,-1.7,79.4,8.68
Control,1,1,-1.7,79.6,8.92
Control,1,1,-1.7,79.8,10.22
Control,1,1,-1.7,80.0,12.61
Control,1,1,-1.7,80.2,16.02
Control,1,1,-1.7,80.4,20.21
Control,1,1,-1.7,80.6,24.82
Control,1,1,-1.7,80.8,29.4
Control,1,1,-1.7,81.0,33.46
Control,1,1,-1.7,81.2,36.52
Control,1,1,-1.7,81.4,38.15
Control,1,1,-1.7,81.6,38.02
Control,1,1,-1.7,81.8,35.98
Control,1,1,-1.7,82.0,32.05
Control,1,1,-1.7,82.2,27.85
Control,1,1,-1.7,82.4,19.27
Control,1,1,-1.7,82.6,9.87
Control,1,1,-1.7,82.8,0.37
Control,1,1,-1.7,83.0,-8.47
Control,1,1,-1.7,83.2,-15.98
Control,1,1,-1.7,83.4,-21.6
Control,1,1,-1.7,83.6,-24.96
Control,1,1,-1.7,83.8,-25.94
Control,1,1,-1.7,84.0,-24.6
Control,1,1,-1.7,84.2,-21.27
Control,1,1,-1.7,84.4,-16.42
Control,1,1,-1.7,84.6,-10.69
Control,1,1,-1.7,84.8,-4.73
Control,1,1,-1.7,85.0,0.79
Control,1,1,-1.7,85.2,5.31
Control,1,1,-1.7,85.4,8.39
Control,1,1,-1.7,85.6,9.81
Control,1,1,-1.7,85.8,9.51
Control,1,1,-1.7,86.0,7.64
Control,1,1,-1.7,86.2,4.52
Control,1,1,-1.7,86.4,0.58
Control,1,1,-1.7,86.6,-3.69
Control,1,1,-1.7,86.8,-7.78
Control,1,1,-1.7,87.0,-11.26
Control,1,1,-1.7,87.2,-13.79
Control,1,1,-1.7,87.4,-15.16
Control,1,1,-1.7,87.6,-15.32
Control,1,1,-1.7,87.8,-14.34
Control,1,1,-1.7,88.0,-12.4
Control,1,1,-1.7,88.2,-9.76
Control,1,1,-1.7,88.4,-6.69
Control,1,1,-1.7,88.6,-3.44
Control,1,1,-1.7,88.8,-0.18
Control,1,1,-1.7,89.0,2.99
Control,1,1,-1.7,89.2,6.11
Control,1,1,-1.7,89.4,9.29
Control,1,1,-1.7,89.6,12.75
Control,1,1,-1.7,89.8,16.71
Control,1,1,-1.7,90.0,21.43
Control,1,1,-1.7,90.2,27.06
Control,1,1,-1.7,90.4,33.7
Control,1,1,-1.7,90.6,41.27
Control,1,1,-1.7,90.8,49.55
Control,1,1,-1.7,91.0,58.19
Control,1,1,-1.7,91.2,66.68
Control,1,1,-1.7,91.4,74.44
Control,1,1,-1.7,91.6,80.86
Control,1,1,-1.7,91.8,85.37
Control,1,1,-1.7,92.0,87.48
Control,1,1,-1.7,92.2,86.87
Control,1,1,-1.7,92.4,83.41
Control,1,1,-1.7,92.6,77.19
Control,1,1,-1.7,92.8,68.53
Control,1,1,-1.7,93.0,57.92
Control,1,1,-1.7,93.2,46.04
Control,1,1,-1.7,93.4,33.64
Control,1,1,-1.7,93.6,21.48
Control,1,1,-1.7,93.8,10.31
Control,1,1,-1.7,94.0,0.73
Control,1,1,-1.7,94.2,-6.81
Control,1,1,-1.7,94.4,-12.05
Control,1,1,-1.7,94.6,-14.95
Control,1,1,-1.7,94.8,-15.67
Control,1,1,-1.7,95.0,-14.54
Control,1,1,-1.7,95.2,-12.01
Control,1,1,-1.7,95.4,-8.59
Control,1,1,-1.7,95.6,-4.8
Control,1,1,-1.7,95.8,-1.13
Control,1,1,-1.7,96.0,2.06
Control,1,1,-1.7,96.2,4.51
Control,1,1,-1.7,96.4,6.1
Control,1,1,-1.7,96.6,6.85
Control,1,1,-1.7,96.8,6.9
Control,1,1,-1.7,97.0,6.44
Control,1,1,-1.7,97.2,5.75
Control,1,1,-1.7,97.4,5.06
Control,1,1,-1.7,97.6,4.62
Control,1,1,-1.7,97.8,4.57
Control,1,1,-1.7,98.0,5.0
Control,1,1,-1.7,98.2,5.93
Control,1,1,-1.7,98.4,7.3
Control,1,1,-1.7,98.6,9.01
Control,1,1,-1.7,98.8,10.94
Control,1,1,-1.7,99.0,12.99
Control,1,1,-1.7,99.2,15.08
Control,1,1,-1.7,99.4,17.22
Control,1,1,-1.7,99.6,19.45
Control,1,1,-1.7,99.8,21.88
Control,1,1,-1.7,100.0,24.69
Control,1,1,-1.7,100.2,28.04
Control,1,1,-1.7,100.4,32.1
Control,1,1,-1.7,100.6,36.99
Control,1,1,-1.7,100.8,42.74
Control,1,1,-1.7,101.0,49.32
Control,1,1,-1.7,101.2,56.54
Control,1,1,-1.7,101.4,64.15
Control,1,1,-1.7,101.6,71.79
Control,1,1,-1.7,101.8,79.04
Control,1,1,-1.7,102.0,85.48
Control,1,1,-1.7,102.2,90.7
Control,1,1,-1.7,102.4,94.35
Control,1,1,-1.7,102.6,96.23
Control,1,1,-1.7,102.8,96.21
Control,1,1,-1.7,103.0,94.36
Control,1,1,-1.7,103.2,90.88
Control,1,1,-1.7,103.4,86.09
Control,1,1,-1.7,103.6,80.41
Control,1,1,-1.7,103.8,74.33
Control,1,1,-1.7,104.0,68.33
Control,1,1,-1.7,104.2,62.86
Control,1,1,-1.7,104.4,58.29
Control,1,1,-1.7,104.6,54.88
Control,1,1,-1.7,104.8,52.76
Control,1,1,-1.7,105.0,51.92
Control,1,1,-1.7,105.2,52.25
Control,1,1,-1.7,105.4,53.51
Control,1,1,-1.7,105.6,55.42
Control,1,1,-1.7,105.8,57.66
Control,1,1,-1.7,106.0,59.94
Control,1,1,-1.7,106.2,62.0
Control,1,1,-1.7,106.4,63.66
Control,1,1,-1.7,106.6,64.83
Control,1,1,-1.7,106.8,65.53
Control,1,1,-1.7,107.0,65.83
Control,1,1,-1.7,107.2,65.89
Control,1,1,-1.7,107.4,65.9
Control,1,1,-1.7,107.6,66.03
Control,1,1,-1.7,107.8,66.48
Control,1,1,-1.7,108.0,67.35
Control,1,1,-1.7,108.2,68.71
Control,1,1,-1.7,108.4,70.56
Control,1,1,-1.7,108.6,72.82
Control,1,1,-1.7,108.8,75.37
Control,1,1,-1.7,109.0,78.04
Control,1,1,-1.7,109.2,80.68
Control,1,1,-1.7,109.4,83.13
Control,1,1,-1.7,109.6,85.3
Control,1,1,-1.7,109.8,87.13
Control,1,1,-1.7,110.0,88.63
Control,1,1,-1.7,110.2,89.88
Control,1,1,-1.7,110.4,91.0
Control,1,1,-1.7,110.6,92.13
Control,1,1,-1.7,110.8,93.44
Control,1,1,-1.7,111.0,95.06
Control,1,1,-1.7,111.2,97.07
Control,1,1,-1.7,111.4,99.5
Control,1,1,-1.7,111.6,102.28
Control,1,1,-1.7,111.8,105.29
Control,1,1,-1.7,112.0,108.32
Control,1,1,-1.7,112.2,111.09
Control,1,1,-1.7,112.4,113.31
Control,1,1,-1.7,112.6,114.68
Control,1,1,-1.7,112.8,114.93
Control,1,1,-1.7,113.0,113.84
Control,1,1,-1.7,113.2,111.29
Control,1,1,-1.7,113.4,107.23
Control,1,1,-1.7,113.6,101.74
Control,1,1,-1.7,113.8,94.97
Control,1,1,-1.7,114.0,87.18
Control,1,1,-1.7,114.2,78.67
Control,1,1,-1.7,114.4,69.78
Control,1,1,-1.7,114.6,60.87
Control,1,1,-1.7,114.8,52.25
Control,1,1,-1.7,115.0,44.23
Control,1,1,-1.7,115.2,37.0
Control,1,1,-1.7,115.4,30.74
Control,1,1,-1.7,115.6,25.51
Control,1,1,-1.7,115.8,21.34
Control,1,1,-1.7,116.0,18.18
Control,1,1,-1.7,116.2,15.98
Control,1,1,-1.7,116.4,14.65
Control,1,1,-1.7,116.6,14.12
Control,1,1,-1.7,116.8,14.35
Control,1,1,-1.7,117.0,15.3
Control,1,1,-1.7,117.2,17.0
Control,1,1,-1.7,117.4,19.48
Control,1,1,-1.7,117.6,22.81
Control,1,1,-1.7,117.8,27.04
Control,1,1,-1.7,118.0,32.25
Control,1,1,-1.7,118.2,38.45
Control,1,1,-1.7,118.4,45.62
Control,1,1,-1.7,118.6,53.68
Control,1,1,-1.7,118.8,62.51
Control,1,1,-1.7,119.0,71.89
Control,1,1,-1.7,119.2,81.57
Control,1,1,-1.7,119.4,91.27
Control,1,1,-1.7,119.6,100.66
Control,1,1,-1.7,119.8,109.44
Control,1,1,-1.7,120.0,117.31
Control,1,1,-1.7,120.2,124.05
Control,1,1,-1.7,120.4,129.47
Control,1,1,-1.7,120.6,133.48
Control,1,1,-1.7,120.8,136.06
Control,1,1,-1.7,121.0,137.27
Control,1,1,-1.7,121.2,137.26
Control,1,1,-1.7,121.4,136.23
Control,1,1,-1.7,121.6,134.4
Control,1,1,-1.7,121.8,132.03
Control,1,1,-1.7,122.0,129.36
Control,1,1,-1.7,122.2,124.62
Control,1,1,-1.7,122.4,120.86
Control,1,1,-1.7,122.6,117.53
Control,1,1,-1.7,122.8,114.69
Control,1,1,-1.7,123.0,112.32
Control,1,1,-1.7,123.2,110.34
Control,1,1,-1.7,123.4,108.57
Control,1,1,-1.7,123.6,106.81
Control,1,1,-1.7,123.8,104.85
Control,1,1,-1.7,124.0,102.48
Control,1,1,-1.7,124.2,99.54
Control,1,1,-1.7,124.4,95.91
Control,1,1,-1.7,124.6,91.56
Control,1,1,-1.7,124.8,86.5
Control,1,1,-1.7,125.0,80.87
Control,1,1,-1.7,125.2,74.82
Control,1,1,-1.7,125.4,68.57
Control,1,1,-1.7,125.6,62.37
Control,1,1,-1.7,125.8,56.46
Control,1,1,-1.7,126.0,51.09
Control,1,1,-1.7,126.2,46.45
Control,1,1,-1.7,126.4,42.68
Control,1,1,-1.7,126.6,39.86
Control,1,1,-1.7,126.8,38.02
Control,1,1,-1.7,127.0,37.12
Control,1,1,-1.7,127.2,37.07
Control,1,1,-1.7,127.4,37.74
Control,1,1,-1.7,127.6,38.98
Control,1,1,-1.7,127.8,40.64
Control,1,1,-1.7,128.0,42.6
Control,1,1,-1.7,128.2,44.74
Control,1,1,-1.7,128.4,46.99
Control,1,1,-1.7,128.6,49.31
Control,1,1,-1.7,128.8,51.73
Control,1,1,-1.7,129.0,54.27
Control,1,1,-1.7,129.2,57.01
Control,1,1,-1.7,129.4,60.01
Control,1,1,-1.7,129.6,63.34
Control,1,1,-1.7,129.8,67.05
Control,1,1,-1.7,130.0,71.16
Control,1,1,-1.7,130.2,75.65
Control,1,1,-1.7,130.4,80.44
Control,1,1,-1.7,130.6,85.43
Control,1,1,-1.7,130.8,90.48
Control,1,1,-1.7,131.0,95.4
Control,1,1,-1.7,131.2,100.01
Control,1,1,-1.7,131.4,104.12
Control,1,1,-1.7,131.6,107.55
Control,1,1,-1.7,131.8,110.15
Control,1,1,-1.7,132.0,111.83
Control,1,1,-1.7,132.2,112.52
Control,1,1,-1.7,132.4,112.21
Control,1,1,-1.7,132.6,110.97
Control,1,1,-1.7,132.8,108.87
Control,1,1,-1.7,133.0,106.06
Control,1,1,-1.7,133.2,102.7
Control,1,1,-1.7,133.4,98.95
Control,1,1,-1.7,133.6,95.01
Control,1,1,-1.7,133.8,91.04
Control,1,1,-1.7,134.0,87.18
Control,1,1,-1.7,134.2,83.55
Control,1,1,-1.7,134.4,80.22
Control,1,1,-1.7,134.6,77.26
Control,1,1,-1.7,134.8,74.65
Control,1,1,-1.7,135.0,72.37
Control,1,1,-1.7,135.2,70.36
Control,1,1,-1.7,135.4,68.55
Control,1,1,-1.7,135.6,66.83
Control,1,1,-1.7,135.8,65.11
Control,1,1,-1.7,136.0,63.3
Control,1,1,-1.7,136.2,61.3
Control,1,1,-1.7,136.4,59.06
