condition,condition_order,intensity_group,intensity_log_cd_s_m2,animal,a_wave_uv,b_wave_uv,a_implicit_ms,b_implicit_ms
AAV8-RK-GFP-polyA-stuffer,4,Group1,-1.7,an2,64.5,41.89,19.4,71.6
AAV8-RK-GFP-polyA-stuffer,4,Group1,-1.7,an3,48.21,38.7,20.4,70.6
AAV8-RK-GFP-polyA-stuffer,4,Group1,-1.7,an4,123.74,86.13,19.6,70.2
AAV8-RK-GFP-polyA-stuffer,4,Group1,-1.7,an5,67.99,50.41,19.6,50.8
AAV8-RK-GFP-polyA-stuffer,4,Group2,-0.8,an1,56.84,72.96,6.4,76.6
AAV8-RK-GFP-polyA-stuffer,4,Group2,-0.8,an2,51.98,49.13,8.2,117.2
AAV8-RK-GFP-polyA-stuffer,4,Group2,-0.8,an3,38.07,45.12,7.0,117.0
AAV8-RK-GFP-polyA-stuffer,4,Group2,-0.8,an4,65.99,115.93,5.6,115.6
AAV8-RK-GFP-polyA-stuffer,4,Group2,-0.8,an5,78.88,49.77,10.8,80.8
AAV8-RK-GFP-polyA-stuffer,4,Group3,0.1,an1,92.74,154.05,23.6,53.8
AAV8-RK-GFP-polyA-stuffer,4,Group3,0.1,an2,64.57,98.59,28.8,60.0
AAV8-RK-GFP-polyA-stuffer,4,Group3,0.1,an3,38.46,93.04,27.6,57.8
AAV8-RK-GFP-polyA-stuffer,4,Group3,0.1,an4,83.24,233.6,25.8,56.4
AAV8-RK-GFP-polyA-stuffer,4,Group3,0.1,an5,64.57,118.93,28.4,59.0
AAV8-RK-GFP-polyA-stuffer,4,Group4,1.0,an1,72.91,35.13,9.2,40.0
AAV8-RK-GFP-polyA-stuffer,4,Group4,1.0,an2,82.88,26.42,13.0,44.2
AAV8-RK-GFP-polyA-stuffer,4,Group4,1.0,an3,50.44,23.47,9.6,40.4
AAV8-RK-GFP-polyA-stuffer,4,Group4,1.0,an4,161.46,53.1,11.8,42.8
AAV8-RK-GFP-polyA-stuffer,4,Group4,1.0,an5,74.85,30.61,9.6,41.0
AAV8-RK-GFP-polyA-stuffer,4,Group5,1.9,an1,32.57,24.18,36.4,81.2
AAV8-RK-GFP-polyA-stuffer,4,Group5,1.9,an2,22.67,17.36,28.8,80.2
AAV8-RK-GFP-polyA-stuffer,4,Group5,1.9,an3,27.77,17.11,33.0,84.4
AAV8-RK-GFP-polyA-stuffer,4,Group5,1.9,an4,46.21,37.0,8.4,79.8
AAV8-RK-GFP-polyA-stuffer,4,Group5,1.9,an5,35.92,19.47,13.2,84.0
AAV8-RK-GFP-polyA-stuffer,4,Group6,2.8,an1,115.95,59.43,12.4,62.4
AAV8-RK-GFP-polyA-stuffer,4,Group6,2.8,an2,92.62,44.05,17.2,66.2
AAV8-RK-GFP-polyA-stuffer,4,Group6,2.8,an3,52.45,37.27,9.6,61.0
AAV8-RK-GFP-polyA-stuffer,4,Group6,2.8,an4,121.75,87.89,9.8,60.0
AAV8-RK-GFP-polyA-stuffer,4,Group6,2.8,an5,97.72,52.93,11.4,62.0
AAV8-RK-GFP-polyA-stuffer,4,Group7,3.1,an1,49.55,50.55,18.8,53.4
AAV8-RK-GFP-polyA-stuffer,4,Group7,3.1,an2,30.0,44.37,2.6,57.0
AAV8-RK-GFP-polyA-stuffer,4,Group7,3.1,an3,24.67,37.01,2.8,57.0
AAV8-RK-GFP-polyA-stuffer,4,Group7,3.1,an4,65.74,74.22,19.2,53.8
AAV8-RK-GFP-polyA-stuffer,4,Group7,3.1,an5,31.12,49.29,3.6,58.0
AAV8-CMV-GFP,5,Group1,-1.7,an1,106.93,122.05,18.4,88.0
AAV8-CMV-GFP,5,Group1,-1.7,an2,74.24,83.31,17.0,86.6
AAV8-CMV-GFP,5,Group1,-1.7,an3,123.01,141.72,14.4,84.6
AAV8-CMV-GFP,5,Group1,-1.7,an4,127.86,148.94,14.2,84.2
AAV8-CMV-GFP,5,Group1,-1.7,an5,199.0,231.52,14.2,84.2
AAV8-CMV-GFP,5,Group2,-0.8,an1,54.33,42.09,3.2,76.2
AAV8-CMV-GFP,5,Group2,-0.8,an2,47.53,26.39,1.4,74.2
AAV8-CMV-GFP,5,Group2,-0.8,an3,100.0,41.43,39.2,72.6
AAV8-CMV-GFP,5,Group2,-0.8,an4,66.25,49.0,2.6,51.6
AAV8-CMV-GFP,5,Group2,-0.8,an5,97.88,81.83,5.2,78.0
AAV8-CMV-GFP,5,Group3,0.1,an1,51.32,35.47,10.8,63.2
AAV8-CMV-GFP,5,Group3,0.1,an2,26.55,25.59,9.0,61.2
AAV8-CMV-GFP,5,Group3,0.1,an3,57.5,41.66,11.4,63.2
AAV8-CMV-GFP,5,Group3,0.1,an4,62.19,41.63,13.0,65.0
AAV8-CMV-GFP,5,Group3,0.1,an5,57.72,69.39,6.8,59.0
AAV8-CMV-GFP,5,Group4,1.0,an1,88.53,42.11,13.6,102.2
AAV8-CMV-GFP,5,Group4,1.0,an2,58.07,30.82,14.4,102.6
AAV8-CMV-GFP,5,Group4,1.0,an3,101.88,48.11,13.4,101.6
AAV8-CMV-GFP,5,Group4,1.0,an4,106.36,52.64,14.8,103.4
AAV8-CMV-GFP,5,Group4,1.0,an5,164.25,81.98,15.2,103.6
AAV8-CMV-GFP,5,Group5,1.9,an1,24.5,39.93,5.6,119.0
AAV8-CMV-GFP,5,Group5,1.9,an2,17.59,28.62,5.6,119.6
AAV8-CMV-GFP,5,Group5,1.9,an3,29.81,46.54,6.4,119.4
AAV8-CMV-GFP,5,Group5,1.9,an4,44.78,35.38,9.2,120.0
AAV8-CMV-GFP,5,Group5,1.9,an5,42.97,89.58,3.0,118.4
AAV8-CMV-GFP,5,Group6,2.8,an1,162.67,80.82,18.0,48.8
AAV8-CMV-GFP,5,Group6,2.8,an2,94.77,57.15,19.8,51.6
AAV8-CMV-GFP,5,Group6,2.8,an3,158.55,92.68,20.0,113.2
AAV8-CMV-GFP,5,Group6,2.8,an4,193.1,97.95,18.2,111.0
AAV8-CMV-GFP,5,Group6,2.8,an5,311.67,153.69,18.0,48.8
AAV8-CMV-GFP,5,Group7,3.1,an1,47.07,113.83,4.2,117.8
AAV8-CMV-GFP,5,Group7,3.1,an2,38.4,64.38,29.2,116.4
AAV8-CMV-GFP,5,Group7,3.1,an3,68.44,107.62,8.2,116.6
AAV8-CMV-GFP,5,Group7,3.1,an4,78.77,131.87,2.6,116.4
AAV8-CMV-GFP,5,Group7,3.1,an5,71.28,207.63,5.2,119.2
AAV8-RK-PDE6B-3UTR,6,Group1,-1.7,an1,75.16,43.66,20.4,120.0
AAV8-RK-PDE6B-3UTR,6,Group1,-1.7,an2,87.01,59.22,17.2,120.0
AAV8-RK-PDE6B-3UTR,6,Group1,-1.7,an3,50.8,34.73,17.2,120.0
AAV8-RK-PDE6B-3UTR,6,Group1,-1.7,an4,23.03,16.15,38.8,120.0
AAV8-RK-PDE6B-3UTR,6,Group1,-1.7,an5,91.61,56.2,21.6,120.0
AAV8-RK-PDE6B-3UTR,6,Group2,-0.8,an1,30.74,39.26,5.8,40.0
AAV8-RK-PDE6B-3UTR,6,Group2,-0.8,an2,52.06,35.01,11.0,40.6
AAV8-RK-PDE6B-3UTR,6,Group2,-0.8,an3,26.24,24.33,9.4,42.0
AAV8-RK-PDE6B-3UTR,6,Group2,-0.8,an4,15.84,10.89,10.6,42.8
AAV8-RK-PDE6B-3UTR,6,Group2,-0.8,an5,34.99,46.64,5.8,40.0
AAV8-RK-PDE6B-3UTR,6,Group3,0.1,an1,49.49,14.4,13.6,40.0
AAV8-RK-PDE6B-3UTR,6,Group3,0.1,an2,31.45,16.9,18.8,44.2
AAV8-RK-PDE6B-3UTR,6,Group3,0.1,an3,27.06,8.43,16.4,41.8
AAV8-RK-PDE6B-3UTR,6,Group3,0.1,an4,10.45,6.12,14.6,40.0
AAV8-RK-PDE6B-3UTR,6,Group3,0.1,an5,46.41,19.44,17.6,43.8
AAV8-RK-PDE6B-3UTR,6,Group4,1.0,an1,68.41,141.07,11.8,120.0
AAV8-RK-PDE6B-3UTR,6,Group4,1.0,an2,93.75,123.7,37.4,120.0
AAV8-RK-PDE6B-3UTR,6,Group4,1.0,an3,53.25,78.78,15.0,120.0
AAV8-RK-PDE6B-3UTR,6,Group4,1.0,an4,28.77,36.97,37.8,120.0
AAV8-RK-PDE6B-3UTR,6,Group4,1.0,an5,112.78,164.24,15.6,120.0
AAV8-RK-PDE6B-3UTR,6,Group5,1.9,an1,28.42,124.04,3.0,120.0
AAV8-RK-PDE6B-3UTR,6,Group5,1.9,an2,46.8,115.52,1.4,119.6
AAV8-RK-PDE6B-3UTR,6,Group5,1.9,an3,23.5,75.55,1.4,118.2
AAV8-RK-PDE6B-3UTR,6,Group5,1.9,an4,9.92,38.18,2.2,120.0
AAV8-RK-PDE6B-3UTR,6,Group5,1.9,an5,44.15,145.22,4.4,120.0
AAV8-RK-PDE6B-3UTR,6,Group6,2.8,an1,56.1,198.07,22.8,115.4
AAV8-RK-PDE6B-3UTR,6,Group6,2.8,an2,48.59,199.07,25.4,118.0
AAV8-RK-PDE6B-3UTR,6,Group6,2.8,an3,32.05,121.62,25.6,118.0
AAV8-RK-PDE6B-3UTR,6,Group6,2.8,an4,19.03,57.61,31.0,115.4
AAV8-RK-PDE6B-3UTR,6,Group6,2.8,an5,72.05,253.94,24.2,116.6
AAV8-RK-PDE6B-3UTR,6,Group7,3.1,an1,103.27,100.96,33.2,120.0
AAV8-RK-PDE6B-3UTR,6,Group7,3.1,an2,100.84,106.11,32.0,120.0
AAV8-RK-PDE6B-3UTR,6,Group7,3.1,an3,60.26,65.33,30.6,120.0
AAV8-RK-PDE6B-3UTR,6,Group7,3.1,an4,27.94,30.66,30.4,119.2
AAV8-RK-PDE6B-3UTR,6,Group7,3.1,an5,126.19,123.84,33.4,120.0
